"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"JK Cement Ltd","Basic Materials","1500241080","1312250000","2.5","346400","","","/mutual-fund/holding-history/8759/683/"
"TeamLease Services Ltd","Industrials","1087526212.5","1245800000","2.37","389550","","","/mutual-fund/holding-history/8759/1955/"
"Hitachi Energy India Ltd Ordinary Shares","Technology","1252948734.25","1174819000","2.24","223165","","","/mutual-fund/holding-history/8759/202203/"
"Sanofi India Ltd","Healthcare","1226813902","1165220000","2.22","144433","35000","31.98","/mutual-fund/holding-history/8759/1182/"
"Go Fashion (India) Ltd","Consumer Cyclical","997801075.1","1148669000","2.19","917687","","","/mutual-fund/holding-history/8759/728986/"
"Cholamandalam Financial Holdings Ltd","Financial Services","1246606382","1115777000","2.12","1072811","","","/mutual-fund/holding-history/8759/1424/"
"Prince Pipes And Fittings Ltd Ordinary Shares","Industrials","979406127.9","1040930000","1.98","1401454","213884","18.01","/mutual-fund/holding-history/8759/177142/"
"Tega Industries Ltd","Industrials","970091349.85","986316000","1.88","856177","34551","4.21","/mutual-fund/holding-history/8759/743298/"
"Birlasoft Ltd","Technology","1138300710.75","971040000","1.85","1346703","","","/mutual-fund/holding-history/8759/763/"
"RHI Magnesita India Ltd","Industrials","859208939.7","946870000","1.8","1175871","","","/mutual-fund/holding-history/8759/989/"
"ICICI Securities Ltd","Financial Services","1006969649.4","936291000","1.78","1304027","","","/mutual-fund/holding-history/8759/81109/"
"Brigade Enterprises Ltd","Real Estate","1010514702.4","917929000","1.75","1023617","","","/mutual-fund/holding-history/8759/219/"
"TD Power Systems Ltd","Industrials","1030048385.6","917814000","1.75","3529376","","","/mutual-fund/holding-history/8759/1373/"
"CCL Products (India) Ltd","Consumer Defensive","925282891.05","885002000","1.69","1374761","425298","44.79","/mutual-fund/holding-history/8759/243/"
"R R Kabel Ltd","Industrials","747648680.4","818800000","1.56","521064","","","/mutual-fund/holding-history/8759/1681351/"
