"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Birlasoft Ltd","Technology","9267190831.5","7905481160","4.25","10963846","","","/mutual-fund/holding-history/17696/763/"
"Narayana Hrudayalaya Ltd","Healthcare","7869835425.5","7564293230","4.06","6293351","-347816","-5.24","/mutual-fund/holding-history/17696/1886/"
"Brigade Enterprises Ltd","Real Estate","7838215971.2","7120056900","3.82","7939846","","","/mutual-fund/holding-history/17696/219/"
"Cholamandalam Financial Holdings Ltd","Financial Services","6204960314","5553759870","2.98","5339897","","","/mutual-fund/holding-history/17696/1424/"
"Blue Star Ltd","Industrials","5608394922.8","4827440460","2.59","5097614","","","/mutual-fund/holding-history/17696/209/"
"Krishna Institute of Medical Sciences Ltd","Healthcare","5041839595.5","4805590620","2.58","2428047","","","/mutual-fund/holding-history/17696/555690/"
"Galaxy Surfactants Ltd","Basic Materials","4746346942.05","4736620300","2.54","1706429","","","/mutual-fund/holding-history/17696/74800/"
"CCL Products (India) Ltd","Consumer Defensive","4869254260.5","4657280190","2.5","7234610","","","/mutual-fund/holding-history/17696/243/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","4417255525.1","4346492760","2.33","2675341","467866","21.19","/mutual-fund/holding-history/17696/665/"
"JK Lakshmi Cement Ltd","Basic Materials","4320405432.85","4313451350","2.32","4795921","","","/mutual-fund/holding-history/17696/685/"
"Fine Organic Industries Ltd Ordinary Shares","Basic Materials","3965990710","4308028200","2.31","865370","","","/mutual-fund/holding-history/17696/92286/"
"Can Fin Homes Ltd","Financial Services","4008089357.8","4077831740","2.19","5243788","","","/mutual-fund/holding-history/17696/234/"
"Nifty 50 Index January 2024 Future","","","3654953650","1.96","167000","167000","New",""
"RHI Magnesita India Ltd","Industrials","3218743729.8","3547137520","1.91","4405014","","","/mutual-fund/holding-history/17696/989/"
"Persistent Systems Ltd","Technology","3847918056.6","3395547530","1.82","459516","","","/mutual-fund/holding-history/17696/1023/"
"CIE Automotive India Ltd","Consumer Cyclical","3415600801.05","3363086070","1.81","7144861","-5204","-0.07","/mutual-fund/holding-history/17696/816/"
"Kaynes Technology India Ltd","Industrials","3399111061.5","3137802780","1.69","1201970","80000","7.13","/mutual-fund/holding-history/17696/1124672/"
"Ahluwalia Contracts (India) Ltd","Industrials","3422006323.2","3048903840","1.64","3931533","","","/mutual-fund/holding-history/17696/43/"
"CreditAccess Grameen Ltd Ordinary Shares","Financial Services","2855308355.7","2923049950","1.57","1830854","","","/mutual-fund/holding-history/17696/100478/"
"Chemplast Sanmar Ltd","Basic Materials","2737763745.15","2897734700","1.56","5796049","","","/mutual-fund/holding-history/17696/623875/"
"Tata Motors Ltd","Consumer Cyclical","3115699958.3","2829469850","1.52","3627758","","","/mutual-fund/holding-history/17696/1362/"
"Craftsman Automation Ltd","Consumer Cyclical","2316595399.15","2773854970","1.49","513083","","","/mutual-fund/holding-history/17696/445359/"
"KPIT Technologies Ltd","Technology","2600937688.5","2701958840","1.45","1784826","","","/mutual-fund/holding-history/17696/141324/"
"Grindwell Norton Ltd","Industrials","2657148965.6","2641159810","1.42","1133983","","","/mutual-fund/holding-history/17696/496/"
"City Union Bank Ltd","Financial Services","2521153683.15","2626018170","1.41","17624283","","","/mutual-fund/holding-history/17696/295/"
"Phoenix Mills Ltd","Real Estate","2736423952","2596898440","1.4","1156928","","","/mutual-fund/holding-history/17696/1036/"
"Vesuvius India Ltd","Industrials","2460111399.6","2479129050","1.33","690296","","","/mutual-fund/holding-history/17696/1475/"
"Rolex Rings Ltd","Industrials","2355633633.35","2476139340","1.33","982517","50000","5.36","/mutual-fund/holding-history/17696/612873/"
"Coforge Ltd","Technology","2431681406.4","2443207440","1.31","389393","","","/mutual-fund/holding-history/17696/942/"
"MTAR Technologies Ltd","Industrials","2239500891.15","2366659400","1.27","1071711","","","/mutual-fund/holding-history/17696/436155/"
"Minda Corp Ltd","Consumer Cyclical","2357615046.05","2228383240","1.2","5769277","","","/mutual-fund/holding-history/17696/863/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","Consumer Defensive","2266476266","2158364960","1.16","1930559","","","/mutual-fund/holding-history/17696/369403/"
"PB Fintech Ltd","Financial Services","2204367515","1926533570","1.03","2424380","","","/mutual-fund/holding-history/17696/710819/"
"Carborundum Universal Ltd","Industrials","1833754067.1","1837798080","0.99","1650618","","","/mutual-fund/holding-history/17696/238/"
"Neogen Chemicals Ltd","Basic Materials","1717963156.3","1802418210","0.97","1217809","","","/mutual-fund/holding-history/17696/141845/"
"Sundaram Finance Ltd","Financial Services","1710777843.2","1697568140","0.91","483872","","","/mutual-fund/holding-history/17696/1311/"
"JK Cement Ltd","Basic Materials","1855218734.85","1622746130","0.87","428363","","","/mutual-fund/holding-history/17696/683/"
"Orient Electric Ltd Ordinary Shares","Consumer Cyclical","1413865320","1527984450","0.82","6732692","","","/mutual-fund/holding-history/17696/94299/"
"Data Patterns (India) Ltd","Industrials","1525558335","1453291960","0.78","780836","","","/mutual-fund/holding-history/17696/755079/"
"Jyothy Labs Ltd","Consumer Defensive","1501894572.45","1342774780","0.72","2803873","697664","33.12","/mutual-fund/holding-history/17696/706/"
"Sudarshan Chemical Industries Ltd","Basic Materials","1279652718.4","1339937710","0.72","2440688","","","/mutual-fund/holding-history/17696/1304/"
"PNC Infratech Ltd","Industrials","1710428410","1337330510","0.72","3805180","","","/mutual-fund/holding-history/17696/1717/"
"Sona BLW Precision Forgings Ltd","Consumer Cyclical","1187871589.2","1282598830","0.69","1990068","","","/mutual-fund/holding-history/17696/547977/"
"R R Kabel Ltd","Industrials","1124006965.7","1230975050","0.66","783362","765737","4344.61","/mutual-fund/holding-history/17696/1681351/"
"BSE Ltd","Financial Services","1184140186.6","1202217840","0.65","541247","","","/mutual-fund/holding-history/17696/52884/"
"Sansera Engineering Ltd","Industrials","1166797325.4","1176437890","0.63","1154559","","","/mutual-fund/holding-history/17696/658068/"
"HeidelbergCement India Ltd","Basic Materials","1196407771.5","1172968560","0.63","5040690","","","/mutual-fund/holding-history/17696/536/"
"MAS Financial Services Ltd Ordinary Shares","Financial Services","1220206825.5","1057836920","0.57","1216254","","","/mutual-fund/holding-history/17696/62997/"
"Tata Elxsi Ltd","Technology","915241753.2","1054869510","0.57","120509","","","/mutual-fund/holding-history/17696/1358/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","Basic Materials","942440941.5","1039607690","0.56","1530185","","","/mutual-fund/holding-history/17696/317/"
"UNO Minda Ltd","Consumer Cyclical","1027541069.1","1031365660","0.55","1499841","","","/mutual-fund/holding-history/17696/864/"
"KNR Constructions Ltd","Industrials","1049292140.4","993322150","0.53","3873356","","","/mutual-fund/holding-history/17696/752/"
"Apar Industries Ltd","Industrials","947635312.5","945238410","0.51","156150","156150","New","/mutual-fund/holding-history/17696/88/"
"Ipca Laboratories Ltd","Healthcare","936855878.4","944877340","0.51","848832","","","/mutual-fund/holding-history/17696/642/"
"Multi Commodity Exchange of India Ltd","Financial Services","987364701.4","944406930","0.51","295141","","","/mutual-fund/holding-history/17696/853/"
"Global Health Ltd","Healthcare","1085024004.4","932694720","0.5","972418","","","/mutual-fund/holding-history/17696/1108489/"
"Rainbow Childrens Medicare Ltd","Healthcare","941887267.8","919347630","0.49","770586","62497","8.83","/mutual-fund/holding-history/17696/877862/"
"Fortis Healthcare Ltd","Healthcare","900378780","898663770","0.48","2143759","580347","37.12","/mutual-fund/holding-history/17696/424/"
"Vijaya Diagnostic Centre Ltd","Healthcare","855096033","888768480","0.48","1315330","52546","4.16","/mutual-fund/holding-history/17696/644314/"
"Alicon Castalloy Ltd","Industrials","984963053.9","879109630","0.47","1011983","","","/mutual-fund/holding-history/17696/56/"
"Balrampur Chini Mills Ltd","Consumer Defensive","817589844.4","853024280","0.46","2078266","","","/mutual-fund/holding-history/17696/157/"
"SJS Enterprises Ltd","Consumer Cyclical","790461738.9","852304800","0.46","1377351","","","/mutual-fund/holding-history/17696/710818/"
"Go Fashion (India) Ltd","Consumer Cyclical","728662793.4","838836770","0.45","670158","","","/mutual-fund/holding-history/17696/728986/"
"SRF Ltd","Basic Materials","694915510.9","775246600","0.42","312694","","","/mutual-fund/holding-history/17696/1283/"
"JM Financial Ltd","Financial Services","804085842.8","722501260","0.39","7349962","","","/mutual-fund/holding-history/17696/689/"
"Navin Fluorine International Ltd","Basic Materials","610556864.35","711173560","0.38","184567","","","/mutual-fund/holding-history/17696/914/"
"Computer Age Management Services Ltd Ordinary Shares","Technology","731246417.5","699558630","0.38","263845","144000","120.16","/mutual-fund/holding-history/17696/297909/"
"Cholamandalam Investment and Finance Co Ltd","Financial Services","672082297.35","697408900","0.37","553587","","","/mutual-fund/holding-history/17696/262/"
"Laurus Labs Ltd","Healthcare","588768483.1","684008110","0.37","1589977","","","/mutual-fund/holding-history/17696/4984/"
"Bharat Dynamics Ltd Ordinary Shares","Industrials","655719150.8","659590370","0.35","385196","271937","240.1","/mutual-fund/holding-history/17696/80210/"
"Jamna Auto Industries Ltd","Consumer Cyclical","686841853.95","658260280","0.35","5893109","","","/mutual-fund/holding-history/17696/660/"
"Suven Pharmaceuticals Ltd","Healthcare","608263979.7","641735810","0.34","887847","398166","81.31","/mutual-fund/holding-history/17696/191143/"
"VST Industries Ltd","Consumer Defensive","613226309.2","587637120","0.32","172492","","","/mutual-fund/holding-history/17696/1502/"
"Mahindra & Mahindra Financial Services Ltd","Financial Services","586916622.75","580933030","0.31","2099505","","","/mutual-fund/holding-history/17696/808/"
"India Shelter Finance Corporation Ltd","Financial Services","584408488.5","563738570","0.3","991363","991363","New","/mutual-fund/holding-history/17696/1826519/"
"Timken India Ltd","Industrials","574205025.45","562122320","0.3","172857","","","/mutual-fund/holding-history/17696/1399/"
"Container Corporation of India Ltd","Industrials","551374733.2","547679580","0.29","637096","","","/mutual-fund/holding-history/17696/279/"
"Vedant Fashions Ltd","Consumer Cyclical","422464000","519839000","0.28","410000","","","/mutual-fund/holding-history/17696/816269/"
