"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"REC Ltd","Financial Services","992369582.65","871424000","2.25","2110751","225410","11.96","/mutual-fund/holding-history/189266/1119/"
"Arvind Ltd","Consumer Cyclical","1027661292.75","854995000","2.2","3270203","163658","5.27","/mutual-fund/holding-history/189266/105/"
"Apar Industries Ltd","Industrials","743098565.4","822948000","2.12","135948","","","/mutual-fund/holding-history/189266/88/"
"Cholamandalam Financial Holdings Ltd","Financial Services","794569228","750242000","1.93","721352","200000","38.36","/mutual-fund/holding-history/189266/1424/"
"Power Finance Corp Ltd","Financial Services","733773750","670028000","1.73","1751250","120000","7.36","/mutual-fund/holding-history/189266/1026/"
"Manappuram Finance Ltd","Financial Services","668904242","646357000","1.67","3757889","330000","9.63","/mutual-fund/holding-history/189266/827/"
"Shaily Engineering Plastics Ltd","Basic Materials","572885727.6","597968000","1.54","1778872","28172","1.61","/mutual-fund/holding-history/189266/2105/"
"eClerx Services Ltd","Technology","595468595.7","591305000","1.52","228162","14611","6.84","/mutual-fund/holding-history/189266/356/"
"TVS Holdings Ltd","Consumer Cyclical","564239448.5","555016000","1.43","71890","3909","5.75","/mutual-fund/holding-history/189266/1309/"
"Kirloskar Ferrous Industries Ltd","Industrials","556770142.65","523374000","1.35","944719","245640","35.14","/mutual-fund/holding-history/189266/2056/"
"Nitin Spinners Ltd","Consumer Cyclical","556395227.85","517493000","1.33","1600907","216702","15.66","/mutual-fund/holding-history/189266/948/"
"Radico Khaitan Ltd","Consumer Defensive","476391541.8","477861000","1.23","288172","","","/mutual-fund/holding-history/189266/1090/"
"Computer Age Management Services Ltd Ordinary Shares","Technology","480760000","463995000","1.2","175000","175000","New","/mutual-fund/holding-history/189266/297909/"
"Motilal Oswal Financial Services Ltd","Financial Services","620032330.8","444195000","1.14","357976","357976","New","/mutual-fund/holding-history/189266/879/"
"PNB Housing Finance Ltd","Financial Services","460903334.9","438361000","1.13","561461","215000","62.06","/mutual-fund/holding-history/189266/4826/"
"Karnataka Bank Ltd","Financial Services","454566947.05","431521000","1.11","1843711","199031","12.1","/mutual-fund/holding-history/189266/775/"
"Angel One Ltd Ordinary Shares","Financial Services","359424448","429139000","1.11","123040","","","/mutual-fund/holding-history/189266/300864/"
"Birlasoft Ltd","Technology","469171458","413439000","1.07","573384","","","/mutual-fund/holding-history/189266/763/"
"Cyient Ltd","Industrials","363169423.7","412350000","1.06","179818","87000","93.73","/mutual-fund/holding-history/189266/301/"
"Godrej Industries Ltd","Industrials","459976519.5","405002000","1.04","544029","9000","1.68","/mutual-fund/holding-history/189266/477/"
"Info Edge (India) Ltd","Communication Services","392480446.05","404895000","1.04","78771","","","/mutual-fund/holding-history/189266/913/"
"PCBL Ltd","Basic Materials","513156713.3","400511000","1.03","1592171","294750","22.72","/mutual-fund/holding-history/189266/1034/"
"NLC India Ltd","Utilities","371826446.2","392992000","1.01","1550569","174000","12.64","/mutual-fund/holding-history/189266/935/"
"Senco Gold Ltd","Consumer Cyclical","429764979.6","388246000","1","557304","","","/mutual-fund/holding-history/189266/1525832/"
"Triveni Engineering & Industries Ltd","Consumer Defensive","362847101.4","378666000","0.98","1098538","36000","3.39","/mutual-fund/holding-history/189266/1419/"
