"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"BSE Ltd","Financial Services","255972600","259880000","3.07","117000","","","/mutual-fund/holding-history/138033/52884/"
"Radico Khaitan Ltd","Consumer Defensive","252099750","257029000","3.04","155000","-10000","-6.06","/mutual-fund/holding-history/138033/1090/"
"Lemon Tree Hotels Ltd","Consumer Cyclical","295963500","255281000","3.02","2130000","","","/mutual-fund/holding-history/138033/81513/"
"Rategain Travel Technologies Ltd","Technology","270162900","248908000","2.94","342000","","","/mutual-fund/holding-history/138033/747240/"
"KSB Ltd","Industrials","241835625","234006000","2.77","67500","","","/mutual-fund/holding-history/138033/768/"
"CreditAccess Grameen Ltd Ordinary Shares","Financial Services","220676325","225912000","2.67","141500","-11500","-7.52","/mutual-fund/holding-history/138033/100478/"
"Jyothy Labs Ltd","Consumer Defensive","248005950","221731000","2.62","463000","","","/mutual-fund/holding-history/138033/706/"
"KEI Industries Ltd","Industrials","208212600","220963000","2.61","68000","","","/mutual-fund/holding-history/138033/729/"
"Kaynes Technology India Ltd","Industrials","237547800","219286000","2.59","84000","","","/mutual-fund/holding-history/138033/1124672/"
"PCBL Ltd","Basic Materials","272000000","213818000","2.53","850000","-49831","-5.54","/mutual-fund/holding-history/138033/1034/"
"Eris Lifesciences Ltd Registered Shs","Healthcare","202723300","201110000","2.38","221000","","","/mutual-fund/holding-history/138033/54899/"
"Cholamandalam Financial Holdings Ltd","Financial Services","197309924","176603000","2.09","169802","","","/mutual-fund/holding-history/138033/1424/"
"Syrma SGS Technology Ltd","Technology","151091600","169763000","2.01","253000","","","/mutual-fund/holding-history/138033/995074/"
"REC Ltd","Financial Services","199278773.85","167203000","1.98","404997","-50003","-10.99","/mutual-fund/holding-history/138033/1119/"
"Hero MotoCorp Ltd","Consumer Cyclical","183534000","165582000","1.96","40000","","","/mutual-fund/holding-history/138033/540/"
"Praj Industries Ltd","Industrials","146957500","161240000","1.91","290000","-40000","-12.12","/mutual-fund/holding-history/138033/1061/"
"City Union Bank Ltd","Financial Services","154494000","160920000","1.9","1080000","","","/mutual-fund/holding-history/138033/295/"
