"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Cyient Ltd","Industrials","403930000","458630000","3.58","200000","","","/mutual-fund/holding-history/1739569/301/"
"ICICI Securities Ltd","Financial Services","426882500","394900000","3.08","550000","","","/mutual-fund/holding-history/1739569/81109/"
"NLC India Ltd","Utilities","359700000","380175000","2.97","1500000","","","/mutual-fund/holding-history/1739569/935/"
"RBL Bank Ltd","Financial Services","331695000","363090000","2.83","1300000","","","/mutual-fund/holding-history/1739569/4685/"
"PVR INOX Ltd","Communication Services","306337500","348401000","2.72","210000","60000","40","/mutual-fund/holding-history/1739569/1087/"
"Exide Industries Ltd","Consumer Cyclical","310400000","317850000","2.48","1000000","","","/mutual-fund/holding-history/1739569/404/"
"Hitachi Energy India Ltd Ordinary Shares","Technology","323922500","289539000","2.26","55000","","","/mutual-fund/holding-history/1739569/202203/"
"BEML Ltd","Industrials","320090000","282920000","2.21","100000","","","/mutual-fund/holding-history/1739569/176/"
"Mangalore Refinery and Petrochemicals Ltd","Energy","366240000","279615000","2.18","2100000","","","/mutual-fund/holding-history/1739569/885/"
"Ajanta Pharma Ltd","Healthcare","284056500","270875000","2.11","130000","","","/mutual-fund/holding-history/1739569/49/"
"KSB Ltd","Industrials","258922500","260006000","2.03","75000","","","/mutual-fund/holding-history/1739569/768/"
"Birla Corp Ltd","Basic Materials","251154000","259371000","2.02","180000","","","/mutual-fund/holding-history/1739569/198/"
"eClerx Services Ltd","Technology","260985000","259160000","2.02","100000","","","/mutual-fund/holding-history/1739569/356/"
"KEC International Ltd","Industrials","270402050","258659000","2.02","439000","","","/mutual-fund/holding-history/1739569/727/"
"Blue Dart Express Ltd","Industrials","231645750","257686000","2.01","35000","","","/mutual-fund/holding-history/1739569/208/"
"IDFC Ltd","Financial Services","232000000","253300000","1.98","2000000","","","/mutual-fund/holding-history/1739569/590/"
"Narayana Hrudayalaya Ltd","Healthcare","264957000","252410000","1.97","210000","10000","5","/mutual-fund/holding-history/1739569/1886/"
"Lemon Tree Hotels Ltd","Consumer Cyclical","290850000","251685000","1.96","2100000","","","/mutual-fund/holding-history/1739569/81513/"
"Sanofi India Ltd","Healthcare","250194000","242027000","1.89","30000","","","/mutual-fund/holding-history/1739569/1182/"
"SJVN Ltd","Utilities","291125000","227375000","1.77","2500000","500000","25","/mutual-fund/holding-history/1739569/1250/"
"KFin Technologies Ltd","Technology","243157500","217215000","1.7","450000","","","/mutual-fund/holding-history/1739569/1253626/"
"Affle India Ltd","Communication Services","201242250","215507000","1.68","165000","55000","50","/mutual-fund/holding-history/1739569/154217/"
"Zensar Technologies Ltd","Technology","201582500","213728000","1.67","350000","","","/mutual-fund/holding-history/1739569/1544/"
"Mahanagar Gas Ltd","Utilities","240476250","210088000","1.64","175000","","","/mutual-fund/holding-history/1739569/4581/"
"Westlife Foodworld Ltd","Consumer Cyclical","206987500","204213000","1.59","250000","41832","20.1","/mutual-fund/holding-history/1739569/2228/"
"Karur Vysya Bank Ltd","Financial Services","216300000","202680000","1.58","1200000","","","/mutual-fund/holding-history/1739569/721/"
"RHI Magnesita India Ltd","Industrials","180337500","201313000","1.57","250000","75000","42.86","/mutual-fund/holding-history/1739569/989/"
"Craftsman Automation Ltd","Consumer Cyclical","170964000","194625000","1.52","36000","","","/mutual-fund/holding-history/1739569/445359/"
