"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"KEI Industries Ltd","Industrials","2526550812","2579296000","2.81","793764","","","/mutual-fund/holding-history/138299/729/"
"Multi Commodity Exchange of India Ltd","Financial Services","2399719500","2383888000","2.6","745000","","","/mutual-fund/holding-history/138299/853/"
"Bharat Electronics Ltd","Industrials","2349124530.2","2281016000","2.49","12383366","","","/mutual-fund/holding-history/138299/175/"
"Kaynes Technology India Ltd","Industrials","2461307904.45","2232232000","2.43","855081","151265","21.49","/mutual-fund/holding-history/138299/1124672/"
"Equitas Small Finance Bank Ltd Ordinary Shares","Financial Services","2222304929.9","2205580000","2.4","20905973","","","/mutual-fund/holding-history/138299/325199/"
"Titagarh Rail Systems Ltd","Industrials","2039206000","1912214000","2.08","1832500","","","/mutual-fund/holding-history/138299/1434/"
"Cera Sanitaryware Ltd","Industrials","1797676709.85","1723118000","1.88","219581","","","/mutual-fund/holding-history/138299/254/"
"CreditAccess Grameen Ltd Ordinary Shares","Financial Services","1554433369.4","1559464000","1.7","976771","","","/mutual-fund/holding-history/138299/100478/"
"UltraTech Cement Ltd","Basic Materials","1431538843.9","1508175000","1.64","143594","","","/mutual-fund/holding-history/138299/1443/"
"Can Fin Homes Ltd","Financial Services","1430508759","1443783000","1.57","1856598","","","/mutual-fund/holding-history/138299/234/"
"BSE Ltd","Financial Services","1300029643.1","1360836000","1.48","612658","","","/mutual-fund/holding-history/138299/52884/"
"City Union Bank Ltd","Financial Services","1282964944.8","1353837000","1.48","9086154","","","/mutual-fund/holding-history/138299/295/"
"JK Lakshmi Cement Ltd","Basic Materials","1392836783.4","1345706000","1.47","1496226","","","/mutual-fund/holding-history/138299/685/"
"Persistent Systems Ltd","Technology","1511777862.5","1333269000","1.45","180430","","","/mutual-fund/holding-history/138299/1023/"
"KEC International Ltd","Industrials","1364903315.4","1305627000","1.42","2215932","","","/mutual-fund/holding-history/138299/727/"
"Bikaji Foods International Ltd","Consumer Defensive","1365820730.4","1299886000","1.42","2380308","","","/mutual-fund/holding-history/138299/1110875/"
"V-Guard Industries Ltd","Industrials","1300261554.3","1295829000","1.41","4432458","","","/mutual-fund/holding-history/138299/1476/"
