"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Cyient Ltd","Industrials","6654532667.1","7555686000","5.59","3294894","-5803","-0.18","/mutual-fund/holding-history/8803/301/"
"eClerx Services Ltd","Technology","4023052456.8","3994920000","2.96","1541488","","","/mutual-fund/holding-history/8803/356/"
"Suprajit Engineering Ltd","Consumer Cyclical","3647989568.75","3790646000","2.8","9323935","","","/mutual-fund/holding-history/8803/1323/"
"Ipca Laboratories Ltd","Healthcare","3627330739.55","3619851000","2.68","3251899","","","/mutual-fund/holding-history/8803/642/"
"Ratnamani Metals & Tubes Ltd","Basic Materials","3331142280.9","3515474000","2.6","1045261","-62178","-5.61","/mutual-fund/holding-history/8803/1114/"
"Triveni Engineering & Industries Ltd","Consumer Defensive","3298832935.2","3442651000","2.55","9987384","","","/mutual-fund/holding-history/8803/1419/"
"Jubilant Ingrevia Ltd Ordinary Shares","Basic Materials","2964999488.9","3245451000","2.4","6381146","338778","5.61","/mutual-fund/holding-history/8803/450809/"
"Welspun Corp Ltd","Basic Materials","3404624884.4","3224335000","2.39","5882213","","","/mutual-fund/holding-history/8803/1514/"
"Nilkamal Ltd","Consumer Cyclical","2791436465.6","2885486000","2.14","1289228","","","/mutual-fund/holding-history/8803/943/"
"Engineers India Ltd","Industrials","3821867160.2","2817713000","2.09","16434604","","","/mutual-fund/holding-history/8803/380/"
"Prince Pipes And Fittings Ltd Ordinary Shares","Industrials","2543338219.2","2740952000","2.03","3690276","120945","3.39","/mutual-fund/holding-history/8803/177142/"
"Techno Electric & Engineering Co Ltd","Industrials","2708532997.5","2699589000","2","3375119","","","/mutual-fund/holding-history/8803/118204/"
"Voltamp Transformers Ltd","Industrials","2833597690.5","2573257000","1.9","394635","","","/mutual-fund/holding-history/8803/1499/"
"Atul Ltd","Basic Materials","2195858382.6","2483326000","1.84","347078","","","/mutual-fund/holding-history/8803/129/"
"Dodla Dairy Ltd","Consumer Defensive","2466646961.1","2462861000","1.82","2804442","215691","8.33","/mutual-fund/holding-history/8803/555688/"
"La Opala RG Ltd","Consumer Cyclical","2304192477.6","2360733000","1.75","6352888","231066","3.77","/mutual-fund/holding-history/8803/784/"
"Safari Industries (India) Ltd","Consumer Cyclical","2292060000","2341620000","1.73","1200000","","","/mutual-fund/holding-history/8803/2912/"
"Narayana Hrudayalaya Ltd","Healthcare","2272560161.3","2164939000","1.6","1801189","","","/mutual-fund/holding-history/8803/1886/"
"LT Foods Ltd","Consumer Defensive","2069062473.8","2143975000","1.59","10551058","","","/mutual-fund/holding-history/8803/302/"
"Westlife Foodworld Ltd","Consumer Cyclical","2148306703.5","2119505000","1.57","2594730","287787","12.47","/mutual-fund/holding-history/8803/2228/"
"Dhanuka Agritech Ltd","Basic Materials","2300119593.75","2027458000","1.5","1918125","","","/mutual-fund/holding-history/8803/327/"
"Swaraj Engines Ltd","Consumer Cyclical","1876762539.9","2007249000","1.49","828483","","","/mutual-fund/holding-history/8803/1339/"
"Thangamayil Jewellery Ltd","Consumer Cyclical","1795839235.2","1994508000","1.48","1337384","","","/mutual-fund/holding-history/8803/1384/"
"Kirloskar Oil Engines Ltd","Industrials","1973643591.15","1877131000","1.39","2863881","205547","7.73","/mutual-fund/holding-history/8803/745/"
"Aarti Drugs Ltd","Healthcare","1921071097.7","1862626000","1.38","3807494","","","/mutual-fund/holding-history/8803/13/"
"Kalyani Steels Ltd","Basic Materials","2205371506","1818606000","1.35","3753185","","","/mutual-fund/holding-history/8803/773/"
"Prudent Corporate Advisory Services Ltd","Financial Services","1847119285.8","1772698000","1.31","1473687","","","/mutual-fund/holding-history/8803/888523/"
"DCB Bank Ltd","Financial Services","1779655882.25","1748076000","1.29","13158269","","","/mutual-fund/holding-history/8803/311/"
"Kajaria Ceramics Ltd","Industrials","1793474012.2","1742993000","1.29","1339013","","","/mutual-fund/holding-history/8803/709/"
"Mold-tek Packaging Ltd","Consumer Cyclical","1603450825.5","1737719000","1.29","1893765","","","/mutual-fund/holding-history/8803/1577/"
"Vardhman Textiles Ltd","Consumer Cyclical","1775949460.05","1727195000","1.28","4472861","40962","0.92","/mutual-fund/holding-history/8803/1504/"
"Lumax Auto Technologies Ltd","Consumer Cyclical","1615067988.6","1694634000","1.25","4395939","350314","8.66","/mutual-fund/holding-history/8803/803/"
"Sharda Cropchem Ltd","Basic Materials","1429734713.5","1624552000","1.2","3587791","312404","9.54","/mutual-fund/holding-history/8803/1214/"
"Paradeep Phosphates Ltd","Basic Materials","1921486634.15","1608549000","1.19","23707423","","","/mutual-fund/holding-history/8803/895889/"
"Rolex Rings Ltd","Industrials","1517544998.45","1604614000","1.19","636701","","","/mutual-fund/holding-history/8803/612873/"
"Sheela Foam Ltd","Consumer Cyclical","1388667833","1513890000","1.12","1220485","","","/mutual-fund/holding-history/8803/4957/"
"Archean Chemical Industries Ltd","Basic Materials","1428048921.6","1492605000","1.1","2297376","1000000","77.08","/mutual-fund/holding-history/8803/1121044/"
