"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Birlasoft Ltd","Technology","1082470257.75","923413000","3.08","1280651","","","/mutual-fund/holding-history/138341/763/"
"KEI Industries Ltd","Industrials","819258403.95","869426000","2.9","267561","","","/mutual-fund/holding-history/138341/729/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","839105531","825663000","2.75","508210","","","/mutual-fund/holding-history/138341/665/"
"Ajanta Pharma Ltd","Healthcare","686105120.25","677072000","2.26","324945","","","/mutual-fund/holding-history/138341/49/"
"UNO Minda Ltd","Consumer Cyclical","667078444.5","669561000","2.23","973695","","","/mutual-fund/holding-history/138341/864/"
"Westlife Foodworld Ltd","Consumer Cyclical","663527276.2","664259000","2.21","813196","","","/mutual-fund/holding-history/138341/2228/"
"APL Apollo Tubes Ltd","Basic Materials","601625961.6","616715000","2.05","401298","","","/mutual-fund/holding-history/138341/91/"
"Century Plyboards (India) Ltd","Basic Materials","599175034.35","588877000","1.96","762843","","","/mutual-fund/holding-history/138341/252/"
"Bharat Dynamics Ltd Ordinary Shares","Industrials","568003036.4","571356000","1.9","333668","","","/mutual-fund/holding-history/138341/80210/"
"Persistent Systems Ltd","Technology","629981483.2","555919000","1.85","75232","","","/mutual-fund/holding-history/138341/1023/"
"The Federal Bank Ltd","Financial Services","513885144.3","553020000","1.84","3541593","","","/mutual-fund/holding-history/138341/412/"
"Brigade Enterprises Ltd","Real Estate","592456233.6","538174000","1.79","600138","","","/mutual-fund/holding-history/138341/219/"
"Can Fin Homes Ltd","Financial Services","515181836.55","524146000","1.75","674013","","","/mutual-fund/holding-history/138341/234/"
"Indian Bank","Financial Services","610630484.45","520219000","1.73","1235969","142131","12.99","/mutual-fund/holding-history/138341/609/"
"Krishna Institute of Medical Sciences Ltd","Healthcare","542336117","516923000","1.72","261178","","","/mutual-fund/holding-history/138341/555690/"
"Equitas Small Finance Bank Ltd Ordinary Shares","Financial Services","508691364.25","508450000","1.69","4819435","","","/mutual-fund/holding-history/138341/325199/"
"Angel One Ltd Ordinary Shares","Financial Services","436689000","492310000","1.64","141152","","","/mutual-fund/holding-history/138341/300864/"
"Bikaji Foods International Ltd","Consumer Defensive","511704239.2","480223000","1.6","879368","","","/mutual-fund/holding-history/138341/1110875/"
"Spandana Sphoorty Financial Ltd","Financial Services","437783423.45","469233000","1.56","415729","","","/mutual-fund/holding-history/138341/155461/"
"Cholamandalam Investment and Finance Co Ltd","Financial Services","437105347.95","453577000","1.51","360039","","","/mutual-fund/holding-history/138341/262/"
"Dixon Technologies (India) Ltd","Technology","390953231.9","437884000","1.46","66682","","","/mutual-fund/holding-history/138341/60393/"
"Phoenix Mills Ltd","Real Estate","459437986.25","436012000","1.45","194245","","","/mutual-fund/holding-history/138341/1036/"
"Radico Khaitan Ltd","Consumer Defensive","426554403.45","434894000","1.45","262261","","","/mutual-fund/holding-history/138341/1090/"
"Karur Vysya Bank Ltd","Financial Services","492052265.25","432740000","1.44","2562105","","","/mutual-fund/holding-history/138341/721/"
"Ratnamani Metals & Tubes Ltd","Basic Materials","414339570.6","429346000","1.43","127658","","","/mutual-fund/holding-history/138341/1114/"
"JK Lakshmi Cement Ltd","Basic Materials","427408282.5","426720000","1.42","474450","","","/mutual-fund/holding-history/138341/685/"
"Ahluwalia Contracts (India) Ltd","Industrials","470756710.4","419430000","1.4","540851","","","/mutual-fund/holding-history/138341/43/"
"Voltas Ltd","Industrials","433364137.8","416936000","1.39","426162","426162","New","/mutual-fund/holding-history/138341/1500/"
"Navin Fluorine International Ltd","Basic Materials","356773192.5","415568000","1.38","107850","","","/mutual-fund/holding-history/138341/914/"
"TeamLease Services Ltd","Industrials","348214977.5","398893000","1.33","124730","","","/mutual-fund/holding-history/138341/1955/"
"Concord Biotech Ltd","Healthcare","378819325.5","389593000","1.3","264705","","","/mutual-fund/holding-history/138341/1587026/"
"Dalmia Bharat Ltd","Basic Materials","367450229.25","369913000","1.23","162585","","","/mutual-fund/holding-history/138341/120412/"
"PNC Infratech Ltd","Industrials","469718060.5","367258000","1.22","1044979","","","/mutual-fund/holding-history/138341/1717/"
"K.P.R. Mill Ltd","Consumer Cyclical","332983641","366756000","1.22","444660","","","/mutual-fund/holding-history/138341/764/"
"Tejas Networks Ltd","Technology","315336247.2","366568000","1.22","421488","","","/mutual-fund/holding-history/138341/54898/"
"Action Construction Equipment Ltd","Industrials","411507836.1","365586000","1.22","440917","","","/mutual-fund/holding-history/138341/24/"
"Rategain Travel Technologies Ltd","Technology","395439490.6","364328000","1.21","500588","","","/mutual-fund/holding-history/138341/747240/"
"Home First Finance Co India Ltd ---","Financial Services","377710598.4","360983000","1.2","388112","388112","New","/mutual-fund/holding-history/138341/407835/"
"KEC International Ltd","Industrials","378768431.25","354943000","1.18","602415","","","/mutual-fund/holding-history/138341/727/"
"GMM Pfaudler Ltd","Industrials","334935296.75","353014000","1.18","219005","","","/mutual-fund/holding-history/138341/2213/"
"Mold-tek Packaging Ltd","Consumer Cyclical","315878459.6","347625000","1.16","378842","79967","26.76","/mutual-fund/holding-history/138341/1577/"
"Metro Brands Ltd","Consumer Cyclical","315370308.25","347447000","1.16","273107","","","/mutual-fund/holding-history/138341/750564/"
"Suven Pharmaceuticals Ltd","Healthcare","324651762.5","342517000","1.14","473875","","","/mutual-fund/holding-history/138341/191143/"
"Emami Ltd","Consumer Defensive","299348298","338871000","1.13","601101","","","/mutual-fund/holding-history/138341/374/"
"Kirloskar Pneumatic Co Ltd","Industrials","364380430","335119000","1.12","556306","556306","New","/mutual-fund/holding-history/138341/2214/"
"Fortis Healthcare Ltd","Healthcare","335027700","334390000","1.11","797685","","","/mutual-fund/holding-history/138341/424/"
"Syngene International Ltd","Healthcare","336307310.1","329082000","1.1","469146","","","/mutual-fund/holding-history/138341/1771/"
"Rolex Rings Ltd","Industrials","310441966.65","326323000","1.09","129483","","","/mutual-fund/holding-history/138341/612873/"
"Jubilant Ingrevia Ltd Ordinary Shares","Basic Materials","280381404.6","324501000","1.08","638028","638028","New","/mutual-fund/holding-history/138341/450809/"
"RHI Magnesita India Ltd","Industrials","288356871.7","317777000","1.06","394631","","","/mutual-fund/holding-history/138341/989/"
