"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Equitas Small Finance Bank Ltd Ordinary Shares","Financial Services","5109211810.3","5070760546","4.45","48064081","","","/mutual-fund/holding-history/8298/325199/"
"Brigade Enterprises Ltd","Real Estate","5234205290.45","4814373654","4.22","5368691","-375000","-6.53","/mutual-fund/holding-history/8298/219/"
"Deepak Nitrite Ltd","Basic Materials","3104049398.8","3443823720","3.02","1387967","","","/mutual-fund/holding-history/8298/318/"
"Kalyan Jewellers India Ltd","Consumer Cyclical","3110593321.55","3103144373","2.72","8763469","-150000","-1.68","/mutual-fund/holding-history/8298/447071/"
"Multi Commodity Exchange of India Ltd","Financial Services","3073380354","3053104879","2.68","954140","","","/mutual-fund/holding-history/8298/853/"
"KPIT Technologies Ltd","Technology","2650585824.5","2834850649","2.49","1872610","","","/mutual-fund/holding-history/8298/141324/"
"Jyothy Labs Ltd","Consumer Defensive","3123143949","2736322059","2.4","5713765","-339269","-5.6","/mutual-fund/holding-history/8298/706/"
"Karur Vysya Bank Ltd","Financial Services","2775654789.25","2600877081","2.28","15398917","","","/mutual-fund/holding-history/8298/721/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","2694108808","2581529858","2.26","1588976","","","/mutual-fund/holding-history/8298/665/"
"ICICI Bank Ltd","Financial Services","2282431452.75","2252261187","1.98","2259945","","","/mutual-fund/holding-history/8298/584/"
"Cyient Ltd","Industrials","1839721401.15","2088855560","1.83","910911","-125000","-12.07","/mutual-fund/holding-history/8298/301/"
"Carborundum Universal Ltd","Industrials","2083909008.5","2018463932","1.77","1812883","","","/mutual-fund/holding-history/8298/238/"
"Sobha Ltd","Real Estate","2806263766.65","2002196225","1.76","2031243","","","/mutual-fund/holding-history/8298/1261/"
"JK Lakshmi Cement Ltd","Basic Materials","2000249964.3","1932565064","1.7","2148727","","","/mutual-fund/holding-history/8298/685/"
"Syrma SGS Technology Ltd","Technology","1650542106.5","1844319323","1.62","2748613","","","/mutual-fund/holding-history/8298/995074/"
"CCL Products (India) Ltd","Consumer Defensive","1836013090.1","1841304606","1.62","2860279","","","/mutual-fund/holding-history/8298/243/"
"Ahluwalia Contracts (India) Ltd","Industrials","1852744929","1775146643","1.56","2289035","","","/mutual-fund/holding-history/8298/43/"
"HDFC Bank Ltd","Financial Services","1486735762.5","1770996656","1.55","1036125","","","/mutual-fund/holding-history/8298/533/"
