"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sonata Software Ltd","Technology","13981837785","13874429000","5.17","18679810","-431336","-2.26","/mutual-fund/holding-history/21601/1267/"
"Bank of Baroda","Financial Services","9724277223.6","9897734000","3.69","42828792","","","/mutual-fund/holding-history/21601/162/"
"Firstsource Solutions Ltd","Technology","10182714557.6","9662602000","3.6","52272662","1283954","2.52","/mutual-fund/holding-history/21601/428/"
"eClerx Services Ltd","Technology","9082818238.95","9019304000","3.36","3480207","5822","0.17","/mutual-fund/holding-history/21601/356/"
"Aster DM Healthcare Ltd Ordinary Shares","Healthcare","7182789511.6","6835827000","2.55","16680886","","","/mutual-fund/holding-history/21601/77534/"
"IDFC Ltd","Financial Services","5924299104","6468211000","2.41","51071544","","","/mutual-fund/holding-history/21601/590/"
"Great Eastern Shipping Co Ltd","Industrials","6578027782.8","6376320000","2.38","6527764","-140716","-2.11","/mutual-fund/holding-history/21601/452/"
"Equitas Small Finance Bank Ltd Ordinary Shares","Financial Services","6072583092","6026882000","2.25","57126840","","","/mutual-fund/holding-history/21601/325199/"
"PVR INOX Ltd","Communication Services","5091243183.75","5790318000","2.16","3490141","628725","21.97","/mutual-fund/holding-history/21601/1087/"
"Bajaj Electricals Ltd","Consumer Cyclical","6052146696","5777953000","2.15","5846355","158926","2.79","/mutual-fund/holding-history/21601/146/"
"Fortis Healthcare Ltd","Healthcare","5356776241.25","5220413000","1.95","12453275","","","/mutual-fund/holding-history/21601/424/"
"Power Mech Projects Ltd","Industrials","5995741637.1","5207278000","1.94","1215078","","","/mutual-fund/holding-history/21601/1766/"
"Kirloskar Ferrous Industries Ltd","Industrials","5300437684.35","4982510000","1.86","8993701","","","/mutual-fund/holding-history/21601/2056/"
"KEI Industries Ltd","Industrials","4771332915","4870942000","1.82","1499005","-369000","-19.75","/mutual-fund/holding-history/21601/729/"
"SKF India Ltd","Industrials","4824929923.4","4827764000","1.8","1049491","","","/mutual-fund/holding-history/21601/1251/"
"Eris Lifesciences Ltd Registered Shs","Healthcare","4688375155.4","4796966000","1.79","5271391","87649","1.69","/mutual-fund/holding-history/21601/54899/"
"Gabriel India Ltd","Consumer Cyclical","4536970200","4731352000","1.76","12036000","","","/mutual-fund/holding-history/21601/429/"
"PNC Infratech Ltd","Industrials","5345332229.2","4528971000","1.69","12886529","","","/mutual-fund/holding-history/21601/1717/"
"Krishna Institute of Medical Sciences Ltd","Healthcare","4484974463.75","4279456000","1.59","2162215","","","/mutual-fund/holding-history/21601/555690/"
"Indian Bank","Financial Services","4478832946","4092794000","1.53","9723910","","","/mutual-fund/holding-history/21601/609/"
"VRL Logistics Ltd","Industrials","3595123191.6","3851846000","1.44","4999476","","","/mutual-fund/holding-history/21601/1688/"
"Apar Industries Ltd","Industrials","3462709878.7","3834793000","1.43","633494","-100000","-13.63","/mutual-fund/holding-history/21601/88/"
"Suprajit Engineering Ltd","Consumer Cyclical","3475871651.25","3611797000","1.35","8884017","43308","0.49","/mutual-fund/holding-history/21601/1323/"
"Transport Corp of India Ltd","Industrials","3732939055.7","3600143000","1.34","4375478","","","/mutual-fund/holding-history/21601/1368/"
"Vardhman Textiles Ltd","Consumer Cyclical","3677298824.55","3576348000","1.33","9261551","","","/mutual-fund/holding-history/21601/1504/"
"Gateway Distriparks Ltd","Industrials","3662039063.65","3472998000","1.29","33458557","","","/mutual-fund/holding-history/21601/852172/"
"Global Health Ltd","Healthcare","3962458907.5","3431686000","1.28","3577841","29500","0.83","/mutual-fund/holding-history/21601/1108489/"
"L.G.Balakrishnan & Bros Ltd","Consumer Cyclical","3509880083.55","3421769000","1.28","2719467","","","/mutual-fund/holding-history/21601/787/"
"Chambal Fertilisers & Chemicals Ltd","Basic Materials","3280540000","3323260000","1.24","8900000","","","/mutual-fund/holding-history/21601/258/"
"The Federal Bank Ltd","Financial Services","2972050151.8","3272818000","1.22","20959451","","","/mutual-fund/holding-history/21601/412/"
"Voltamp Transformers Ltd","Industrials","3551563067.8","3225258000","1.2","494626","","","/mutual-fund/holding-history/21601/1499/"
"Chalet Hotels Ltd","Consumer Cyclical","3480910815.6","3181888000","1.19","4568724","-900000","-16.46","/mutual-fund/holding-history/21601/127257/"
"Safari Industries (India) Ltd","Consumer Cyclical","2985003219.4","3049546000","1.14","1562788","","","/mutual-fund/holding-history/21601/2912/"
"Kalpataru Projects International Ltd","Industrials","3139145800","2989101000","1.11","4214750","","","/mutual-fund/holding-history/21601/712/"
"Sula Vineyards Ltd","Consumer Defensive","3883992852.1","2947436000","1.1","5912609","","","/mutual-fund/holding-history/21601/1190656/"
"NRB Bearings Ltd","Consumer Cyclical","3032834610.3","2938346000","1.09","8748982","","","/mutual-fund/holding-history/21601/956/"
"La Opala RG Ltd","Consumer Cyclical","2765116352.7","2832967000","1.06","7623701","","","/mutual-fund/holding-history/21601/784/"
"KEC International Ltd","Industrials","2888706332.05","2763253000","1.03","4689839","","","/mutual-fund/holding-history/21601/727/"
"Redtape Ltd","Consumer Cyclical","3423500705.2","2633893000","0.98","5604028","","","/mutual-fund/holding-history/21601/1615360/"
"Shoppers Stop Ltd","Consumer Cyclical","2540297595","2489852000","0.93","3603259","302056","9.15","/mutual-fund/holding-history/21601/1225/"
"Sharda Cropchem Ltd","Basic Materials","2154534085","2448113000","0.91","5406610","","","/mutual-fund/holding-history/21601/1214/"
"Redington Ltd","Technology","2346975263","2398527000","0.89","13566331","-350000","-2.52","/mutual-fund/holding-history/21601/1120/"
"BEML Ltd","Industrials","2560720000","2263360000","0.84","800000","","","/mutual-fund/holding-history/21601/176/"
