"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Apar Industries Ltd","Industrials","3834986146.05","4247071493","3.21","701601","-12000","-1.68","/mutual-fund/holding-history/20566/88/"
"K.P.R. Mill Ltd","Consumer Cyclical","3832374882.7","4108855847","3.11","4981639","","","/mutual-fund/holding-history/20566/764/"
"Sonata Software Ltd","Technology","3665022765","3636867948","2.75","4896490","","","/mutual-fund/holding-history/20566/1267/"
"Brigade Enterprises Ltd","Real Estate","3696637969.1","3400133442","2.57","3791618","","","/mutual-fund/holding-history/20566/219/"
"KPIT Technologies Ltd","Technology","3097287690","3312606570","2.5","2188200","","","/mutual-fund/holding-history/20566/141324/"
"KEI Industries Ltd","Industrials","3136394514","3201871553","2.42","985358","","","/mutual-fund/holding-history/20566/729/"
"Birlasoft Ltd","Technology","3614981859.75","3185557800","2.41","4417943","-178257","-3.88","/mutual-fund/holding-history/20566/763/"
"Ratnamani Metals & Tubes Ltd","Basic Materials","2773947871.8","2927446792","2.21","870422","","","/mutual-fund/holding-history/20566/1114/"
"EIH Ltd","Consumer Cyclical","3111833449.9","2500893689","1.89","10023622","","","/mutual-fund/holding-history/20566/363/"
"Maharashtra Seamless Ltd","Basic Materials","2592242994.8","2412968570","1.82","2607628","","","/mutual-fund/holding-history/20566/820/"
"Polycab India Ltd","Industrials","1896194777.4","2394268661","1.81","436524","","","/mutual-fund/holding-history/20566/139599/"
"Grindwell Norton Ltd","Industrials","2425102006.6","2372938320","1.79","1018822","","","/mutual-fund/holding-history/20566/496/"
"RHI Magnesita India Ltd","Industrials","2105244826.65","2350105215","1.78","2918479","-100000","-3.31","/mutual-fund/holding-history/20566/989/"
"Cera Sanitaryware Ltd","Industrials","2440540919.25","2339319366","1.77","298105","-6115","-2.01","/mutual-fund/holding-history/20566/254/"
"Mahindra Lifespace Developers Ltd","Real Estate","2359087420","2305423590","1.74","4242200","","","/mutual-fund/holding-history/20566/818/"
"JK Lakshmi Cement Ltd","Basic Materials","2289804547.5","2212321635","1.67","2459775","","","/mutual-fund/holding-history/20566/685/"
"Tube Investments of India Ltd Ordinary Shares","Industrials","2446022331.9","2172309986","1.64","613361","","","/mutual-fund/holding-history/20566/67548/"
"APL Apollo Tubes Ltd","Basic Materials","2083002490.65","2148644647","1.62","1398129","","","/mutual-fund/holding-history/20566/91/"
"Techno Electric & Engineering Co Ltd","Industrials","2064866205","2058047644","1.56","2573042","","","/mutual-fund/holding-history/20566/118204/"
"Finolex Cables Ltd","Industrials","2106954286","2035282052","1.54","1903645","-86939","-4.37","/mutual-fund/holding-history/20566/416/"
"IIFL Finance Ltd","Financial Services","2045939168.5","2033699233","1.54","3399982","288782","9.28","/mutual-fund/holding-history/20566/598/"
"Karur Vysya Bank Ltd","Financial Services","2147210100","2012004360","1.52","11912400","2000000","20.18","/mutual-fund/holding-history/20566/721/"
"Krishna Institute of Medical Sciences Ltd","Healthcare","2087732625","1992064800","1.51","1006500","","","/mutual-fund/holding-history/20566/555690/"
"Trent Ltd","Consumer Cyclical","2084691980.8","1970613827","1.49","645056","","","/mutual-fund/holding-history/20566/1412/"
"Finolex Industries Ltd","Industrials","2097623535","1966667700","1.49","9320700","","","/mutual-fund/holding-history/20566/417/"
"Supreme Petrochem Ltd","Basic Materials","1924299792.5","1896008740","1.43","3388150","","","/mutual-fund/holding-history/20566/1322/"
"Gokaldas Exports Ltd","Consumer Cyclical","2084360800","1879748400","1.42","2276000","","","/mutual-fund/holding-history/20566/480/"
"Indian Bank","Financial Services","1996826743.8","1824716406","1.38","4335273","","","/mutual-fund/holding-history/20566/609/"
"Carborundum Universal Ltd","Industrials","1874964393.5","1816081214","1.37","1631113","-307600","-15.87","/mutual-fund/holding-history/20566/238/"
