"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Cyient Ltd","Industrials","2338254362.2","2639024000","3.72","1150829","","","/mutual-fund/holding-history/9129/301/"
"Nippon Life India Asset Management Ltd Ordinary Shares","Financial Services","2727908749.5","2347155000","3.31","5240939","5082758","3213.25","/mutual-fund/holding-history/9129/64356/"
"Rolex Rings Ltd","Industrials","2048238952.75","2153019000","3.04","854305","","","/mutual-fund/holding-history/9129/612873/"
"Brigade Enterprises Ltd","Real Estate","1844963272","1675923000","2.36","1868885","-108953","-5.51","/mutual-fund/holding-history/9129/219/"
"Vijaya Diagnostic Centre Ltd","Healthcare","1519599648.6","1579439000","2.23","2337486","-8495","-0.36","/mutual-fund/holding-history/9129/644314/"
"Cummins India Ltd","Industrials","1704931156.8","1497763000","2.11","762628","","","/mutual-fund/holding-history/9129/297/"
"Larsen & Toubro Ltd","Industrials","1483105793.4","1439306000","2.03","408198","","","/mutual-fund/holding-history/9129/800/"
"UltraTech Cement Ltd","Basic Materials","1345086000","1417912000","2","135000","-12000","-8.16","/mutual-fund/holding-history/9129/1443/"
"EPL Ltd Ordinary Shares","Consumer Cyclical","1361562101.2","1412638000","1.99","6996722","-369335","-5.01","/mutual-fund/holding-history/9129/393/"
"Bharat Forge Ltd","Consumer Cyclical","1375335307.5","1408840000","1.99","1137675","","","/mutual-fund/holding-history/9129/184/"
"Kalpataru Projects International Ltd","Industrials","1368594875.2","1267443000","1.79","1787144","","","/mutual-fund/holding-history/9129/712/"
"PNC Infratech Ltd","Industrials","1602864858","1253230000","1.77","3565884","","","/mutual-fund/holding-history/9129/1717/"
"V-Mart Retail Ltd","Consumer Cyclical","1314166407","1249175000","1.76","623123","","","/mutual-fund/holding-history/9129/1498/"
"Gateway Distriparks Ltd","Industrials","1216628344","1178041000","1.66","11349145","","","/mutual-fund/holding-history/9129/852172/"
"Krishna Institute of Medical Sciences Ltd","Healthcare","1209191633","1152532000","1.63","582322","-107963","-15.64","/mutual-fund/holding-history/9129/555690/"
"Jyothy Labs Ltd","Consumer Defensive","1246227756.15","1114195000","1.57","2326571","","","/mutual-fund/holding-history/9129/706/"
"Orient Electric Ltd Ordinary Shares","Consumer Cyclical","997605840","1078127000","1.52","4750504","","","/mutual-fund/holding-history/9129/94299/"
"CCL Products (India) Ltd","Consumer Defensive","1127096933.55","1078031000","1.52","1674611","","","/mutual-fund/holding-history/9129/243/"
"Arvind Fashions Ltd","Consumer Cyclical","1291031120.6","1062113000","1.5","2589572","","","/mutual-fund/holding-history/9129/130968/"
"Mahindra Lifespace Developers Ltd","Real Estate","1069524222.4","1043694000","1.47","1920496","-21593","-1.11","/mutual-fund/holding-history/9129/818/"
"Mold-tek Packaging Ltd","Consumer Cyclical","939168139.8","1033558000","1.46","1126371","","","/mutual-fund/holding-history/9129/1577/"
"Sapphire Foods India Ltd","Consumer Cyclical","1037043656.1","1027464000","1.45","723006","","","/mutual-fund/holding-history/9129/716755/"
"Cholamandalam Financial Holdings Ltd","Financial Services","1140240388","1020574000","1.44","981274","","","/mutual-fund/holding-history/9129/1424/"
"Maruti Suzuki India Ltd","Consumer Cyclical","978615406.05","1013102000","1.43","98337","59567","153.64","/mutual-fund/holding-history/9129/842/"
"Birla Corp Ltd","Basic Materials","1019204497.5","961078000","1.36","666975","","","/mutual-fund/holding-history/9129/198/"
"Schaeffler India Ltd","Consumer Cyclical","926553507","954568000","1.35","298023","","","/mutual-fund/holding-history/9129/406/"
"Sansera Engineering Ltd","Industrials","938885802.8","946643000","1.33","929038","-54968","-5.59","/mutual-fund/holding-history/9129/658068/"
"Syngene International Ltd","Healthcare","932475612.6","912443000","1.29","1300796","106194","8.89","/mutual-fund/holding-history/9129/1771/"
"Gujarat Narmada Valley Fertilizers & Chemicals Ltd","Basic Materials","859136222.75","876011000","1.24","1163747","539419","86.4","/mutual-fund/holding-history/9129/473/"
"Sudarshan Chemical Industries Ltd","Basic Materials","807495402","845537000","1.19","1540140","-33871","-2.15","/mutual-fund/holding-history/9129/1304/"
