"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Jindal Stainless Ltd","Basic Materials","528598697.1","528830000","2.66","924366","","","/mutual-fund/holding-history/182450/696/"
"Inox Wind Ltd","Industrials","379213415.5","402446000","2.03","805295","-113400","-12.34","/mutual-fund/holding-history/182450/1627/"
"KPIT Technologies Ltd","Technology","366256471.5","380482000","1.92","251334","","","/mutual-fund/holding-history/182450/141324/"
"Cyient Ltd","Industrials","305704628","345027000","1.74","150460","7236","5.05","/mutual-fund/holding-history/182450/301/"
"NLC India Ltd","Utilities","342825139.95","341344000","1.72","1346789","-15717","-1.15","/mutual-fund/holding-history/182450/935/"
"Kirloskar Oil Engines Ltd","Industrials","350749135.95","331194000","1.67","505293","","","/mutual-fund/holding-history/182450/745/"
"NCC Ltd","Industrials","411305616","325203000","1.64","1950240","","","/mutual-fund/holding-history/182450/918/"
"Arvind Ltd","Consumer Cyclical","363845806.05","303873000","1.53","1162261","","","/mutual-fund/holding-history/182450/105/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","290156058.5","285508000","1.44","175735","","","/mutual-fund/holding-history/182450/665/"
"Brigade Enterprises Ltd","Real Estate","301330953.6","273722000","1.38","305238","","","/mutual-fund/holding-history/182450/219/"
"Bharat Dynamics Ltd Ordinary Shares","Industrials","267526658.8","269106000","1.35","157156","-43455","-21.66","/mutual-fund/holding-history/182450/80210/"
"Birlasoft Ltd","Technology","312513437.25","266593000","1.34","369729","9000","2.49","/mutual-fund/holding-history/182450/763/"
"Welspun Corp Ltd","Basic Materials","273943649.3","258388000","1.3","471382","-36536","-7.19","/mutual-fund/holding-history/182450/1514/"
"Hi-Tech Pipes Ltd","Basic Materials","323086186.8","256506000","1.29","2230488","542153","32.11","/mutual-fund/holding-history/182450/87816/"
"Exide Industries Ltd","Consumer Cyclical","251890344","251772000","1.27","792108","","","/mutual-fund/holding-history/182450/404/"
"Kaynes Technology India Ltd","Industrials","270906298.2","250080000","1.26","95796","","","/mutual-fund/holding-history/182450/1124672/"
"Titagarh Rail Systems Ltd","Industrials","259497888.9","248496000","1.25","238137","","","/mutual-fund/holding-history/182450/1434/"
"ITC Ltd","Consumer Defensive","226962466","239423000","1.21","518120","-59548","-10.31","/mutual-fund/holding-history/182450/647/"
"PNC Infratech Ltd","Industrials","302258184","236326000","1.19","672432","28026","4.35","/mutual-fund/holding-history/182450/1717/"
"BSE Ltd","Financial Services","231486742.4","235021000","1.18","105808","","","/mutual-fund/holding-history/182450/52884/"
"IDFC Ltd","Financial Services","216416086","234166000","1.18","1848920","","","/mutual-fund/holding-history/182450/590/"
"Radico Khaitan Ltd","Consumer Defensive","228255993","232719000","1.17","140340","","","/mutual-fund/holding-history/182450/1090/"
"RBL Bank Ltd","Financial Services","210738188.5","230369000","1.16","824807","40627","5.18","/mutual-fund/holding-history/182450/4685/"
