"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Equitas Small Finance Bank Ltd Ordinary Shares","Financial Services","1283295801.1","1273638000","3.68","12072397","2431455","25.22","/mutual-fund/holding-history/137666/325199/"
"CreditAccess Grameen Ltd Ordinary Shares","Financial Services","1021279358.6","1024584000","2.96","641749","","","/mutual-fund/holding-history/137666/100478/"
"Global Health Ltd","Healthcare","1112909030","963834000","2.78","1004884","","","/mutual-fund/holding-history/137666/1108489/"
"360 One Wam Ltd Ordinary Shares","Financial Services","838118735","944047000","2.73","1329925","","","/mutual-fund/holding-history/137666/166089/"
"KEI Industries Ltd","Industrials","783912423","800278000","2.31","246281","","","/mutual-fund/holding-history/137666/729/"
"Central Depository Services (India) Ltd","Financial Services","755471794.4","778603000","2.25","426772","","","/mutual-fund/holding-history/137666/53219/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","810084467.5","776233000","2.24","477785","","","/mutual-fund/holding-history/137666/665/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","Consumer Defensive","811020965.5","766395000","2.21","685505","39985","6.19","/mutual-fund/holding-history/137666/369403/"
"Tata Elxsi Ltd","Technology","655035293.1","747842000","2.16","85434","9268","12.17","/mutual-fund/holding-history/137666/1358/"
"Century Textiles & Industries Ltd","Basic Materials","763977035.8","694269000","2.01","567886","","","/mutual-fund/holding-history/137666/253/"
"BSE Ltd","Financial Services","663009643.35","694021000","2.01","312453","106297","51.56","/mutual-fund/holding-history/137666/52884/"
"Karur Vysya Bank Ltd","Financial Services","728378533.75","682514000","1.97","4040935","","","/mutual-fund/holding-history/137666/721/"
"Bharat Dynamics Ltd Ordinary Shares","Industrials","649686057.75","666541000","1.93","389255","","","/mutual-fund/holding-history/137666/80210/"
"CIE Automotive India Ltd","Consumer Cyclical","673780827.6","653376000","1.89","1388094","","","/mutual-fund/holding-history/137666/816/"
