"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Cyient Ltd","Industrials","6073580344.6","6896062000","4.9","3007244","-11097","-0.37","/mutual-fund/holding-history/7995/301/"
"Century Plyboards (India) Ltd","Basic Materials","5023627049.3","4892435000","3.47","6337762","","","/mutual-fund/holding-history/7995/252/"
"Carborundum Universal Ltd","Industrials","4598058624.5","4453657000","3.16","4000051","","","/mutual-fund/holding-history/7995/238/"
"Ratnamani Metals & Tubes Ltd","Basic Materials","4011554991.6","4233538000","3.01","1258764","-98355","-7.25","/mutual-fund/holding-history/7995/1114/"
"Blue Star Ltd","Industrials","4110269460","3670714000","2.61","3876150","-100000","-2.51","/mutual-fund/holding-history/7995/209/"
"Galaxy Surfactants Ltd","Basic Materials","3436969942.2","3520098000","2.5","1268161","","","/mutual-fund/holding-history/7995/74800/"
"Techno Electric & Engineering Co Ltd","Industrials","3358164772.5","3347076000","2.38","4184629","","","/mutual-fund/holding-history/7995/118204/"
"Blue Dart Express Ltd","Industrials","2851784209.8","3172362000","2.25","430884","","","/mutual-fund/holding-history/7995/208/"
"Garware Technical Fibres Ltd","Consumer Cyclical","3250267431.45","2980751000","2.12","885547","","","/mutual-fund/holding-history/7995/441/"
"Alembic Pharmaceuticals Ltd","Healthcare","3648160867.2","2941928000","2.09","3874016","","","/mutual-fund/holding-history/7995/92/"
"Great Eastern Shipping Co Ltd","Industrials","2873745759.9","2785626000","1.98","2851787","","","/mutual-fund/holding-history/7995/452/"
"Amara Raja Energy & Mobility Ltd","Industrials","2623407793.7","2632764000","1.87","3226427","-591900","-15.5","/mutual-fund/holding-history/7995/68/"
"Sansera Engineering Ltd","Industrials","2641439664","2620225000","1.86","2571495","132712","5.44","/mutual-fund/holding-history/7995/658068/"
"Solar Industries India Ltd","Basic Materials","2464395603.45","2547455000","1.81","378663","-52783","-12.23","/mutual-fund/holding-history/7995/1263/"
"Shoppers Stop Ltd","Consumer Cyclical","2569117290","2518099000","1.79","3644138","","","/mutual-fund/holding-history/7995/1225/"
"Exide Industries Ltd","Consumer Cyclical","2415526592","2473502000","1.76","7781980","","","/mutual-fund/holding-history/7995/404/"
"V-Guard Industries Ltd","Industrials","2418423162.6","2410179000","1.71","8244156","","","/mutual-fund/holding-history/7995/1476/"
"Sheela Foam Ltd","Consumer Cyclical","2193305201.6","2391084000","1.7","1927672","","","/mutual-fund/holding-history/7995/4957/"
"Mahindra Lifespace Developers Ltd","Real Estate","2376503915.9","2322444000","1.65","4273519","","","/mutual-fund/holding-history/7995/818/"
"Persistent Systems Ltd","Technology","2517261377.5","2220027000","1.58","300434","-144000","-32.4","/mutual-fund/holding-history/7995/1023/"
"Shyam Metalics and Energy Ltd","Basic Materials","2387393220.35","2213402000","1.57","3525649","-1332428","-27.43","/mutual-fund/holding-history/7995/546490/"
"Ajanta Pharma Ltd","Healthcare","2168161748.55","2067545000","1.47","992271","","","/mutual-fund/holding-history/7995/49/"
"BEML Ltd","Industrials","2335981610.1","2064719000","1.47","729789","","","/mutual-fund/holding-history/7995/176/"
"Amber Enterprises India Ltd Ordinary Shares","Consumer Cyclical","2684268420.55","2051169000","1.46","654197","","","/mutual-fund/holding-history/7995/73518/"
"Somany Ceramics Ltd","Industrials","1897598968.2","2032191000","1.44","2833506","-88202","-3.02","/mutual-fund/holding-history/7995/1264/"
"Schaeffler India Ltd","Consumer Cyclical","1968795933.3","2027605000","1.44","633033","","","/mutual-fund/holding-history/7995/406/"
"JK Cement Ltd","Basic Materials","2104183012.05","1912722000","1.36","504909","","","/mutual-fund/holding-history/7995/683/"
"Rolex Rings Ltd","Industrials","1767788180.85","1869215000","1.33","741693","","","/mutual-fund/holding-history/7995/612873/"
"Bosch Ltd","Consumer Cyclical","1889747948.7","1842005000","1.31","82959","","","/mutual-fund/holding-history/7995/214/"
"V-Mart Retail Ltd","Consumer Cyclical","1870500203","1808436000","1.28","902098","","","/mutual-fund/holding-history/7995/1498/"
"ICICI Bank Ltd","Financial Services","1783287904.05","1759716000","1.25","1765719","","","/mutual-fund/holding-history/7995/584/"
"Supreme Industries Ltd","Industrials","1545392047.15","1748668000","1.24","384919","-24563","-6","/mutual-fund/holding-history/7995/1324/"
"Balrampur Chini Mills Ltd","Consumer Defensive","1639047943.5","1735003000","1.23","4227074","","","/mutual-fund/holding-history/7995/157/"
"Kalpataru Projects International Ltd","Industrials","1741385598.4","1658151000","1.18","2338058","","","/mutual-fund/holding-history/7995/712/"
"Nilkamal Ltd","Consumer Cyclical","1553546156.4","1605888000","1.14","717507","","","/mutual-fund/holding-history/7995/943/"
"R R Kabel Ltd","Industrials","1461885926.6","1565815000","1.11","996446","","","/mutual-fund/holding-history/7995/1681351/"
"Mankind Pharma Ltd","Healthcare","1556198049.6","1519485000","1.08","766449","766449","New","/mutual-fund/holding-history/7995/1436676/"
"VIP Industries Ltd","Consumer Cyclical","1404368115","1512289000","1.07","2530393","","","/mutual-fund/holding-history/7995/1488/"
"PVR INOX Ltd","Communication Services","1284833448.75","1461253000","1.04","880777","880777","New","/mutual-fund/holding-history/7995/1087/"
"Dhanuka Agritech Ltd","Basic Materials","1627451604.65","1434530000","1.02","1357171","","","/mutual-fund/holding-history/7995/327/"
"Computer Age Management Services Ltd Ordinary Shares","Technology","1477993600","1426453000","1.01","538000","538000","New","/mutual-fund/holding-history/7995/297909/"
"VST Tillers Tractors Ltd","Industrials","1254188850.75","1418030000","1.01","375309","","","/mutual-fund/holding-history/7995/1503/"
"APL Apollo Tubes Ltd","Basic Materials","1366754123.45","1409825000","1","917377","","","/mutual-fund/holding-history/7995/91/"
"Hawkins Cookers Ltd","Consumer Cyclical","1299245699.4","1349742000","0.96","177868","","","/mutual-fund/holding-history/7995/2364/"
"Orient Electric Ltd Ordinary Shares","Consumer Cyclical","1219500243.65","1318245000","0.94","5808527","","","/mutual-fund/holding-history/7995/94299/"
"G R Infraprojects Ltd","Industrials","1326631774","1305187000","0.93","1140698","","","/mutual-fund/holding-history/7995/577216/"
"Thermax Ltd","Industrials","1289557947","1275649000","0.91","413970","","","/mutual-fund/holding-history/7995/1387/"
"Krishna Institute of Medical Sciences Ltd","Healthcare","1203008995.25","1147883000","0.82","579973","579973","New","/mutual-fund/holding-history/7995/555690/"
"Go Fashion (India) Ltd","Consumer Cyclical","997736423.45","1119006000","0.79","893989","","","/mutual-fund/holding-history/7995/728986/"
"AU Small Finance Bank Ltd","Financial Services","998345269.35","1110542000","0.79","1410391","","","/mutual-fund/holding-history/7995/54902/"
"Bandhan Bank Ltd","Financial Services","1012323963.6","1106019000","0.79","4581688","","","/mutual-fund/holding-history/7995/79883/"
"Torrent Pharmaceuticals Ltd","Healthcare","1147034303.2","1069194000","0.76","463748","","","/mutual-fund/holding-history/7995/1409/"
"Kajaria Ceramics Ltd","Industrials","1096984672.8","1066108000","0.76","819012","","","/mutual-fund/holding-history/7995/709/"
"Atul Ltd","Basic Materials","941318059.5","1064549000","0.76","148785","","","/mutual-fund/holding-history/7995/129/"
"Bharat Forge Ltd","Consumer Cyclical","1016284081.75","1048544000","0.74","846727","","","/mutual-fund/holding-history/7995/184/"
"Laxmi Organic Industries Ltd","Basic Materials","976940095","1046516000","0.74","3604945","","","/mutual-fund/holding-history/7995/445357/"
"Apollo Pipes Ltd","Industrials","1113826957","1044885000","0.74","1525268","","","/mutual-fund/holding-history/7995/3689/"
"Happy Forgings Ltd","Industrials","963994209.5","1023405000","0.73","994321","994321","New","/mutual-fund/holding-history/7995/1833301/"
"Shriram Finance Ltd","Financial Services","1145093916.6","1019102000","0.72","496324","","","/mutual-fund/holding-history/7995/1288/"
"AAVAS Financiers Ltd","Financial Services","962008605.75","977317000","0.69","637831","","","/mutual-fund/holding-history/7995/106807/"
"Sandhar Technologies Ltd Ordinary Shares","Consumer Cyclical","893732474.7","953779000","0.68","1933858","","","/mutual-fund/holding-history/7995/80794/"
"Prataap Snacks Ltd","Consumer Defensive","1142486528.1","946553000","0.67","882979","","","/mutual-fund/holding-history/7995/60394/"
"PI Industries Ltd","Basic Materials","834529801.2","905049000","0.64","257416","","","/mutual-fund/holding-history/7995/1038/"
"Ramco Cements Ltd","Basic Materials","773742018.15","814871000","0.58","798619","","","/mutual-fund/holding-history/7995/1103/"
