"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Garware Hi-Tech Films Ltd","Basic Materials","102549885.7","86569000","4.47","61751","","","/mutual-fund/holding-history/134856/2089/"
"KEI Industries Ltd","Industrials","64426489.95","68372000","3.53","21041","","","/mutual-fund/holding-history/134856/729/"
"Kennametal India Ltd","Industrials","67233304","67427000","3.48","27154","","","/mutual-fund/holding-history/134856/2255/"
"BSE Ltd","Financial Services","65771831.4","66776000","3.45","30063","","","/mutual-fund/holding-history/134856/52884/"
"Kirloskar Oil Engines Ltd","Industrials","61813363.35","58367000","3.01","89049","","","/mutual-fund/holding-history/134856/745/"
"Texmaco Rail & Engineering Ltd","Industrials","71138726.75","56147000","2.9","328055","57474","21.24","/mutual-fund/holding-history/134856/1380/"
"Grindwell Norton Ltd","Industrials","50981002.4","50674000","2.62","21757","-8593","-28.31","/mutual-fund/holding-history/134856/496/"
"Lemon Tree Hotels Ltd","Consumer Cyclical","56535281.25","48764000","2.52","406875","","","/mutual-fund/holding-history/134856/81513/"
"Hitachi Energy India Ltd Ordinary Shares","Technology","51911204.7","48674000","2.51","9246","","","/mutual-fund/holding-history/134856/202203/"
"KSB Ltd","Industrials","48936782.25","47352000","2.45","13659","","","/mutual-fund/holding-history/134856/768/"
"Avalon Technologies Ltd","Technology","43145719.2","44728000","2.31","81162","","","/mutual-fund/holding-history/134856/1416031/"
"Bharat Bijlee Ltd","Industrials","47520256","43301000","2.24","8960","","","/mutual-fund/holding-history/134856/170/"
"Blue Star Ltd","Industrials","48607936.2","41839000","2.16","44181","","","/mutual-fund/holding-history/134856/209/"
"Greenpanel Industries Ltd Ordinary Shares","Basic Materials","38503506.6","40380000","2.09","94302","","","/mutual-fund/holding-history/134856/170350/"
"Carborundum Universal Ltd","Industrials","39188761.25","39275000","2.03","35275","","","/mutual-fund/holding-history/134856/238/"
"Timken India Ltd","Industrials","39848912.6","39010000","2.01","11996","","","/mutual-fund/holding-history/134856/1399/"
"Ratnamani Metals & Tubes Ltd","Basic Materials","37487835","38846000","2.01","11550","","","/mutual-fund/holding-history/134856/1114/"
"Elgi Equipments Ltd","Industrials","43044008.4","38590000","1.99","70866","","","/mutual-fund/holding-history/134856/371/"
"TD Power Systems Ltd","Industrials","41772782.35","37221000","1.92","143131","","","/mutual-fund/holding-history/134856/1373/"
"DCB Bank Ltd","Financial Services","37211232","36349000","1.88","273612","","","/mutual-fund/holding-history/134856/311/"
"Mahanagar Gas Ltd","Utilities","40309547.7","33519000","1.73","27921","","","/mutual-fund/holding-history/134856/4581/"
"Birlasoft Ltd","Technology","38961798.75","33237000","1.72","46095","","","/mutual-fund/holding-history/134856/763/"
"Century Plyboards (India) Ltd","Basic Materials","33438177.4","32863000","1.7","42572","","","/mutual-fund/holding-history/134856/252/"
"E I D Parry India Ltd","Basic Materials","34503262.9","30840000","1.59","55378","6765","13.92","/mutual-fund/holding-history/134856/361/"
"Global Health Ltd","Healthcare","35470166.2","30490000","1.57","31789","","","/mutual-fund/holding-history/134856/1108489/"
"Sanofi India Ltd","Healthcare","32022380","30415000","1.57","3770","","","/mutual-fund/holding-history/134856/1182/"
"Equitas Small Finance Bank Ltd Ordinary Shares","Financial Services","30085972","30072000","1.55","285040","","","/mutual-fund/holding-history/134856/325199/"
"Huhtamaki India Ltd Ordinary Shares","Consumer Cyclical","33932613","29703000","1.53","103532","","","/mutual-fund/holding-history/134856/1002/"
"Deepak Nitrite Ltd","Basic Materials","26460049.5","29593000","1.53","11927","","","/mutual-fund/holding-history/134856/318/"
"Carysil Ltd","Consumer Cyclical","30331627.05","29314000","1.51","35657","","","/mutual-fund/holding-history/134856/3001/"
"Bajaj Electricals Ltd","Consumer Cyclical","30387372.55","28743000","1.48","29083","","","/mutual-fund/holding-history/134856/146/"
"Navin Fluorine International Ltd","Basic Materials","24284395.05","28286000","1.46","7341","","","/mutual-fund/holding-history/134856/914/"
"Piramal Pharma Ltd","Healthcare","27609153","27579000","1.42","198627","","","/mutual-fund/holding-history/134856/1093348/"
"Bank of Baroda","Financial Services","28137825","27385000","1.41","118500","","","/mutual-fund/holding-history/134856/162/"
"Divgi TorqTransfer Systems Ltd","Consumer Cyclical","24880269.15","26183000","1.35","26697","","","/mutual-fund/holding-history/134856/1381687/"
"CIE Automotive India Ltd","Consumer Cyclical","26152203.3","25750000","1.33","54706","","","/mutual-fund/holding-history/134856/816/"
"Campus Activewear Ltd","Consumer Cyclical","24054661.6","24909000","1.29","88976","","","/mutual-fund/holding-history/134856/877863/"
"Metropolis Healthcare Ltd","Healthcare","22903727.7","24221000","1.25","14433","","","/mutual-fund/holding-history/134856/139598/"
"Cyient Ltd","Industrials","21138847.2","23858000","1.23","10404","","","/mutual-fund/holding-history/134856/301/"
"Sheela Foam Ltd","Consumer Cyclical","19972063.8","22082000","1.14","17802","","","/mutual-fund/holding-history/134856/4957/"
"Hindware Home Innovation Ltd Ordinary Shares","Consumer Cyclical","20082193","22002000","1.14","43234","","","/mutual-fund/holding-history/134856/178605/"
"Galaxy Surfactants Ltd","Basic Materials","22042991.25","21998000","1.14","7925","-2970","-27.26","/mutual-fund/holding-history/134856/74800/"
"IDFC First Bank Ltd","Financial Services","20347590.7","21873000","1.13","246041","","","/mutual-fund/holding-history/134856/1786/"
"PNC Infratech Ltd","Industrials","25907831.5","20257000","1.05","57637","","","/mutual-fund/holding-history/134856/1717/"
