"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Godrej Industries Ltd","Industrials","923198068","812862000","2.62","1091896","","","/mutual-fund/holding-history/1146982/477/"
"REC Ltd","Financial Services","890934250","782351000","2.52","1895000","","","/mutual-fund/holding-history/1146982/1119/"
"Coal India Ltd","Energy","798270000","770800000","2.49","2050000","-150000","-6.82","/mutual-fund/holding-history/1146982/275/"
"Birlasoft Ltd","Technology","844170523.5","743891000","2.4","1031678","","","/mutual-fund/holding-history/1146982/763/"
"Century Textiles & Industries Ltd","Basic Materials","788922933.7","716939000","2.31","586429","","","/mutual-fund/holding-history/1146982/253/"
"Reliance Industries Ltd","Energy","730660500","697937000","2.25","270000","","","/mutual-fund/holding-history/1146982/1127/"
"Cholamandalam Financial Holdings Ltd","Financial Services","707372285","667910000","2.15","642190","250000","63.74","/mutual-fund/holding-history/1146982/1424/"
"Arvind Ltd","Consumer Cyclical","744105975.75","619082000","2","2367879","240820","11.32","/mutual-fund/holding-history/1146982/105/"
"Grasim Industries Ltd","Basic Materials","528230452.5","543061000","1.75","254385","","","/mutual-fund/holding-history/1146982/490/"
"NLC India Ltd","Utilities","512110405.4","541261000","1.75","2135573","-800000","-27.25","/mutual-fund/holding-history/1146982/935/"
"Firstsource Solutions Ltd","Technology","564107489.2","535294000","1.73","2895829","300000","11.56","/mutual-fund/holding-history/1146982/428/"
"ICICI Securities Ltd","Financial Services","557022675.1","515290000","1.66","717674","47674","7.12","/mutual-fund/holding-history/1146982/81109/"
"National Aluminium Co Ltd","Basic Materials","550290000","514605000","1.66","3900000","1500000","62.5","/mutual-fund/holding-history/1146982/911/"
"Gujarat State Fertilizers & Chemicals Ltd","Basic Materials","646445500","508147000","1.64","2105000","300000","16.62","/mutual-fund/holding-history/1146982/499/"
"ICRA Ltd","Financial Services","489671102.25","506798000","1.63","88605","","","/mutual-fund/holding-history/1146982/586/"
"CESC Ltd","Utilities","498628911.6","495636000","1.6","3740652","-960000","-20.42","/mutual-fund/holding-history/1146982/256/"
"Apar Industries Ltd","Industrials","446237389.9","494187000","1.59","81638","52226","177.57","/mutual-fund/holding-history/1146982/88/"
"Emami Ltd","Consumer Defensive","408591297.5","467702000","1.51","829627","100000","13.71","/mutual-fund/holding-history/1146982/374/"
"Voltamp Transformers Ltd","Industrials","514504396.5","467234000","1.51","71655","-605","-0.84","/mutual-fund/holding-history/1146982/1499/"
"Kirloskar Oil Engines Ltd","Industrials","490374330.6","466395000","1.5","711564","","","/mutual-fund/holding-history/1146982/745/"
"Ujjivan Financial Services Limited","","453470335.2","465202000","1.5","823294","405000","96.82","/mutual-fund/holding-history/1146982/2014/"
"Minda Corp Ltd","Consumer Cyclical","488474571","462208000","1.49","1196655","","","/mutual-fund/holding-history/1146982/863/"
"PNB Housing Finance Ltd","Financial Services","463597528.7","440923000","1.42","564743","100000","21.52","/mutual-fund/holding-history/1146982/4826/"
"Thomas Cook India Ltd","Consumer Cyclical","554400000","434720000","1.4","3200000","1000000","45.45","/mutual-fund/holding-history/1146982/1389/"
"Birla Corp Ltd","Basic Materials","418590000","432285000","1.39","300000","53862","21.88","/mutual-fund/holding-history/1146982/198/"
"Jindal Stainless Ltd","Basic Materials","394794127.35","419544000","1.35","733341","85000","13.11","/mutual-fund/holding-history/1146982/696/"
"Engineers India Ltd","Industrials","558390455.65","411679000","1.33","2401163","696163","40.83","/mutual-fund/holding-history/1146982/380/"
"Triveni Engineering & Industries Ltd","Consumer Defensive","389680343.1","406669000","1.31","1179777","","","/mutual-fund/holding-history/1146982/1419/"
"KEI Industries Ltd","Industrials","381670347","389638000","1.26","119909","","","/mutual-fund/holding-history/1146982/729/"
"Exide Industries Ltd","Consumer Cyclical","370928000","379831000","1.23","1195000","180000","17.73","/mutual-fund/holding-history/1146982/404/"
"Piramal Pharma Ltd","Healthcare","384846000","374201000","1.21","2695000","695000","34.75","/mutual-fund/holding-history/1146982/1093348/"
"Bharat Bijlee Ltd","Industrials","352121849.75","362287000","1.17","74965","17500","30.45","/mutual-fund/holding-history/1146982/170/"
"Zee Entertainment Enterprises Ltd","Communication Services","207103574.4","348599000","1.12","1269017","-405983","-24.24","/mutual-fund/holding-history/1146982/1537/"
"Gujarat Narmada Valley Fertilizers & Chemicals Ltd","Basic Materials","334564375.6","343790000","1.11","456712","-33288","-6.79","/mutual-fund/holding-history/1146982/473/"
"Tega Industries Ltd","Industrials","341117052","342783000","1.11","297555","52000","21.18","/mutual-fund/holding-history/1146982/743298/"
"Varroc Engineering Ltd Ordinary Shares","Consumer Cyclical","313527700.35","337819000","1.09","609561","","","/mutual-fund/holding-history/1146982/93226/"
"Karnataka Bank Ltd","Financial Services","350101000","332351000","1.07","1420000","","","/mutual-fund/holding-history/1146982/775/"
"City Union Bank Ltd","Financial Services","310640000","327800000","1.06","2200000","175000","8.64","/mutual-fund/holding-history/1146982/295/"
"PCBL Ltd","Basic Materials","418990000","327015000","1.05","1300000","","","/mutual-fund/holding-history/1146982/1034/"
"Kolte-Patil Developers Ltd","Real Estate","354369730.95","326350000","1.05","667929","","","/mutual-fund/holding-history/1146982/755/"
"Nitin Spinners Ltd","Consumer Cyclical","350241427.2","325753000","1.05","1007744","185288","22.53","/mutual-fund/holding-history/1146982/948/"
"Lakshmi Machine Works Ltd","Industrials","309291430","322174000","1.04","23450","1105","4.95","/mutual-fund/holding-history/1146982/785/"
"CIE Automotive India Ltd","Consumer Cyclical","316258486.8","306681000","0.99","651542","","","/mutual-fund/holding-history/1146982/816/"
"Indian Bank","Financial Services","332285130.8","303645000","0.98","721418","721418","New","/mutual-fund/holding-history/1146982/609/"
"SJVN Ltd","Utilities","386684685.15","302009000","0.97","3320607","-1000000","-23.14","/mutual-fund/holding-history/1146982/1250/"
"MOIL Ltd","Basic Materials","329016750","298185000","0.96","965000","65000","7.22","/mutual-fund/holding-history/1146982/872/"
"Electronics Mart India Ltd","Consumer Cyclical","315935332.2","295277000","0.95","1444606","-387116","-21.13","/mutual-fund/holding-history/1146982/1063762/"
"Jio Financial Services Ltd","Financial Services","303410250","294682000","0.95","1265000","","","/mutual-fund/holding-history/1146982/1564869/"
"Bajaj Electricals Ltd","Consumer Cyclical","306606571.2","292716000","0.94","296181","","","/mutual-fund/holding-history/1146982/146/"
"INOX India Ltd","Industrials","282644032","292247000","0.94","331120","331120","New","/mutual-fund/holding-history/1146982/1830843/"
"Natco Pharma Ltd","Healthcare","303025273","282662000","0.91","348385","","","/mutual-fund/holding-history/1146982/908/"
"D B Corp Ltd","Communication Services","343800000","267300000","0.86","1000000","109675","12.32","/mutual-fund/holding-history/1146982/308/"
"eClerx Services Ltd","Technology","266204700","264343000","0.85","102000","","","/mutual-fund/holding-history/1146982/356/"
"Navin Fluorine International Ltd","Basic Materials","228733774.5","263520000","0.85","68390","","","/mutual-fund/holding-history/1146982/914/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","Consumer Defensive","267025670","252333000","0.81","225700","","","/mutual-fund/holding-history/1146982/369403/"
"United Spirits Ltd","Consumer Defensive","244518696","249371000","0.8","223101","","","/mutual-fund/holding-history/1146982/851/"
"Jyothy Labs Ltd","Consumer Defensive","277680452.4","243288000","0.78","508014","120000","30.93","/mutual-fund/holding-history/1146982/706/"
"Orient Cement Ltd","Basic Materials","262220164.95","239736000","0.77","954743","","","/mutual-fund/holding-history/1146982/985/"
"EPL Ltd Ordinary Shares","Consumer Cyclical","228869468","233142000","0.75","1154740","-24196","-2.05","/mutual-fund/holding-history/1146982/393/"
"Cyient Ltd","Industrials","201965000","229315000","0.74","100000","100000","New","/mutual-fund/holding-history/1146982/301/"
"Asahi India Glass Ltd","Consumer Cyclical","222991924.65","225752000","0.73","391523","","","/mutual-fund/holding-history/1146982/107/"
"Krishna Institute of Medical Sciences Ltd","Healthcare","231556824.5","220946000","0.71","111634","","","/mutual-fund/holding-history/1146982/555690/"
"Safari Industries (India) Ltd","Consumer Cyclical","214235028.1","218867000","0.71","112162","","","/mutual-fund/holding-history/1146982/2912/"
"JK Lakshmi Cement Ltd","Basic Materials","224268704.4","216680000","0.7","240916","","","/mutual-fund/holding-history/1146982/685/"
"Kaynes Technology India Ltd","Industrials","237138224.8","215068000","0.69","82384","82384","New","/mutual-fund/holding-history/1146982/1124672/"
"Ajanta Pharma Ltd","Healthcare","224041916.7","213645000","0.69","102534","10024","10.84","/mutual-fund/holding-history/1146982/49/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","218290538.5","209169000","0.67","128747","27701","27.41","/mutual-fund/holding-history/1146982/665/"
"RHI Magnesita India Ltd","Industrials","182710741.5","203962000","0.66","253290","","","/mutual-fund/holding-history/1146982/989/"
"Titagarh Rail Systems Ltd","Industrials","216856900","203352000","0.66","194875","194875","New","/mutual-fund/holding-history/1146982/1434/"
"Ratnamani Metals & Tubes Ltd","Basic Materials","191035533.6","201607000","0.65","59944","","","/mutual-fund/holding-history/1146982/1114/"
"Jammu & Kashmir Bank Ltd","Financial Services","202400150.75","190695000","0.62","1550365","1550365","New","/mutual-fund/holding-history/1146982/653/"
"V-Mart Retail Ltd","Consumer Cyclical","184699086","178571000","0.58","89076","28776","47.72","/mutual-fund/holding-history/1146982/1498/"
"BSE Ltd","Financial Services","159146250","166590000","0.54","75000","","","/mutual-fund/holding-history/1146982/52884/"
"Great Eastern Shipping Co Ltd","Industrials","153320547.3","148619000","0.48","152149","152149","New","/mutual-fund/holding-history/1146982/452/"
"Kirloskar Ferrous Industries Ltd","Industrials","150079156.2","141077000","0.46","254652","73326","40.44","/mutual-fund/holding-history/1146982/2056/"
"Avalon Technologies Ltd","Technology","93060904.5","97548000","0.31","177006","","","/mutual-fund/holding-history/1146982/1416031/"
"Bajel Projects Ltd","Utilities","50774226.3","37554000","0.12","282786","282786","New","/mutual-fund/holding-history/1146982/1845603/"
