"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Tube Investments of India Ltd Ordinary Shares","Industrials","13030698536.1","11572550000","2.64","3267559","","","/mutual-fund/holding-history/10906/67548/"
"HDFC Bank Ltd","Financial Services","6959265000","8289863000","1.89","4850000","","","/mutual-fund/holding-history/10906/533/"
"KPIT Technologies Ltd","Technology","6227980000","6660940000","1.52","4400000","-356932","-7.5","/mutual-fund/holding-history/10906/141324/"
"Apar Industries Ltd","Industrials","5903968061.8","6538374000","1.49","1080116","-40000","-3.57","/mutual-fund/holding-history/10906/88/"
"Bharat Heavy Electricals Ltd","Industrials","7344713875.5","6464617000","1.48","33400245","-2922950","-8.05","/mutual-fund/holding-history/10906/189/"
"Multi Commodity Exchange of India Ltd","Financial Services","5962288311","5922954000","1.35","1851010","","","/mutual-fund/holding-history/10906/853/"
"Voltamp Transformers Ltd","Industrials","6266391416","5690658000","1.3","872720","","","/mutual-fund/holding-history/10906/1499/"
"Cyient Ltd","Industrials","5002978017.15","5680479000","1.3","2477151","","","/mutual-fund/holding-history/10906/301/"
"Karur Vysya Bank Ltd","Financial Services","5729077175.5","5368328000","1.23","31784062","","","/mutual-fund/holding-history/10906/721/"
"ELANTAS Beck India Ltd","Basic Materials","5066661187.5","5220502000","1.19","614625","","","/mutual-fund/holding-history/10906/2035/"
"CreditAccess Grameen Ltd Ordinary Shares","Financial Services","5176921275.4","5193675000","1.19","3253061","-140340","-4.14","/mutual-fund/holding-history/10906/100478/"
"Larsen & Toubro Ltd","Industrials","5136409154.45","5039997000","1.15","1429381","","","/mutual-fund/holding-history/10906/800/"
"Tejas Networks Ltd","Technology","4444963126.4","5012687000","1.14","5763697","","","/mutual-fund/holding-history/10906/54898/"
"NIIT Learning Systems Ltd","Consumer Defensive","4857599084","5004920000","1.14","11420240","100000","0.88","/mutual-fund/holding-history/10906/1603230/"
"InterGlobe Aviation Ltd","Industrials","4636546281.15","4805049000","1.1","1619443","","","/mutual-fund/holding-history/10906/1784/"
"Jyothy Labs Ltd","Consumer Defensive","5274706398","4621399000","1.05","9650030","-200000","-2.03","/mutual-fund/holding-history/10906/706/"
"Inox Wind Ltd","Industrials","4159327000","4427785000","1.01","8860000","-100000","-1.12","/mutual-fund/holding-history/10906/1627/"
"eClerx Services Ltd","Technology","4272679389.6","4242802000","0.97","1637136","","","/mutual-fund/holding-history/10906/356/"
"Ajanta Pharma Ltd","Healthcare","4387021027.2","4183436000","0.95","2007744","","","/mutual-fund/holding-history/10906/49/"
"Hindustan Aeronautics Ltd Ordinary Shares","Industrials","4289133288.8","4141721000","0.95","1477076","-522924","-26.15","/mutual-fund/holding-history/10906/80502/"
"NLC India Ltd","Utilities","3897169889.8","4119006000","0.94","16251751","","","/mutual-fund/holding-history/10906/935/"
"Rategain Travel Technologies Ltd","Technology","4311329438.5","4092319000","0.93","5622862","","","/mutual-fund/holding-history/10906/747240/"
"Pfizer Ltd","Healthcare","4066107340.5","4046580000","0.92","947910","","","/mutual-fund/holding-history/10906/1027/"
"Ion Exchange (India) Ltd","Industrials","3938748000","4026117000","0.92","7161360","","","/mutual-fund/holding-history/10906/2050/"
"Kirloskar Brothers Ltd","Industrials","3891597340.05","3876755000","0.88","4365469","","","/mutual-fund/holding-history/10906/744/"
"Birla Corp Ltd","Basic Materials","3725635179.6","3847527000","0.88","2670132","","","/mutual-fund/holding-history/10906/198/"
"Balrampur Chini Mills Ltd","Consumer Defensive","3602667453","3813578000","0.87","9291212","","","/mutual-fund/holding-history/10906/157/"
"State Bank of India","Financial Services","3594697875","3766586000","0.86","5866500","","","/mutual-fund/holding-history/10906/1193/"
"Zydus Wellness Ltd","Consumer Defensive","3557545480.2","3733901000","0.85","2221106","","","/mutual-fund/holding-history/10906/1550/"
"Jio Financial Services Ltd","Financial Services","3837221037","3726832000","0.85","15998420","","","/mutual-fund/holding-history/10906/1564869/"
"Radico Khaitan Ltd","Consumer Defensive","3684717607.05","3696085000","0.84","2228907","","","/mutual-fund/holding-history/10906/1090/"
"Timken India Ltd","Industrials","3742805978.2","3688420000","0.84","1134218","","","/mutual-fund/holding-history/10906/1399/"
"Central Depository Services (India) Ltd","Financial Services","3566703401.8","3675909000","0.84","2014859","","","/mutual-fund/holding-history/10906/53219/"
"Carborundum Universal Ltd","Industrials","3753786509","3635899000","0.83","3265582","","","/mutual-fund/holding-history/10906/238/"
"Dixon Technologies (India) Ltd","Technology","3232098289.6","3609926000","0.82","549728","","","/mutual-fund/holding-history/10906/60393/"
"K.P.R. Mill Ltd","Consumer Cyclical","3303083404.6","3541379000","0.81","4293622","","","/mutual-fund/holding-history/10906/764/"
"Fine Organic Industries Ltd Ordinary Shares","Basic Materials","3287469416.7","3503488000","0.8","703759","","","/mutual-fund/holding-history/10906/92286/"
