"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"360 One Wam Ltd Ordinary Shares","Financial Services","446181600","502574000","3.42","708000","","","/mutual-fund/holding-history/581901/166089/"
"Rainbow Childrens Medicare Ltd","Healthcare","506955954","496979000","3.38","416562","","","/mutual-fund/holding-history/581901/877862/"
"Global Health Ltd","Healthcare","506756560","438876000","2.98","457568","-32704","-6.67","/mutual-fund/holding-history/581901/1108489/"
"Multi Commodity Exchange of India Ltd","Financial Services","441583820.1","438671000","2.98","137091","-8458","-5.81","/mutual-fund/holding-history/581901/853/"
"Triveni Turbine Ltd","Industrials","385800000","424150000","2.88","1000000","","","/mutual-fund/holding-history/581901/1418/"
"Central Depository Services (India) Ltd","Financial Services","409463191.8","422000000","2.87","231309","-17701","-7.11","/mutual-fund/holding-history/581901/53219/"
"Sanofi India Ltd","Healthcare","435938025.6","421707000","2.87","52272","","","/mutual-fund/holding-history/581901/1182/"
"CE Info Systems Ltd","Technology","409023764.1","393868000","2.68","202482","","","/mutual-fund/holding-history/581901/750563/"
"Blue Star Ltd","Industrials","436385351.6","389718000","2.65","411529","","","/mutual-fund/holding-history/581901/209/"
"Blue Dart Express Ltd","Industrials","346992096.6","385999000","2.62","52428","","","/mutual-fund/holding-history/581901/208/"
"KEI Industries Ltd","Industrials","374002500","381810000","2.59","117500","","","/mutual-fund/holding-history/581901/729/"
"Equitas Small Finance Bank Ltd Ordinary Shares","Financial Services","379351215.5","376496000","2.56","3568685","","","/mutual-fund/holding-history/581901/325199/"
"CSB Bank Ltd Ordinary Shares","Financial Services","323442763.6","361863000","2.46","864358","","","/mutual-fund/holding-history/581901/174482/"
"Ratnamani Metals & Tubes Ltd","Basic Materials","335580570","354150000","2.41","105300","","","/mutual-fund/holding-history/581901/1114/"
"IndiaMART InterMESH Ltd","Communication Services","317911058.4","353308000","2.4","129802","","","/mutual-fund/holding-history/581901/149049/"
