"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Reliance Industries Ltd","Energy","13829133280","12710716000","9.78","4917200","2145000","77.38","/mutual-fund/holding-history/6125/1127/"
"Hindustan Copper Ltd","Basic Materials","5056769433.5","4846883000","3.73","17711977","","","/mutual-fund/holding-history/6125/551/"
"Adani Power Ltd","Utilities","4587099138.6","4300866000","3.31","8189786","1440786","21.35","/mutual-fund/holding-history/6125/28/"
"Jio Financial Services Ltd","Financial Services","4461776760","4197782000","3.23","18020100","","","/mutual-fund/holding-history/6125/1564869/"
"BSE Ltd","Financial Services","4001307437.2","4065924000","3.13","1830508","130508","7.68","/mutual-fund/holding-history/6125/52884/"
"IRB Infrastructure Developers Ltd","Industrials","6212040224.6","3801329000","2.92","91488074","","","/mutual-fund/holding-history/6125/644/"
"RBL Bank Ltd","Financial Services","3260817000","3569454000","2.75","12780000","3680000","40.44","/mutual-fund/holding-history/6125/4685/"
"Arvind Ltd","Consumer Cyclical","4184762705.75","3496105000","2.69","13371985","","","/mutual-fund/holding-history/6125/105/"
"Bikaji Foods International Ltd","Consumer Defensive","3639543069.6","3418566000","2.63","6259964","","","/mutual-fund/holding-history/6125/1110875/"
"Punjab National Bank","Financial Services","3055306800","2678989000","2.06","27979000","","","/mutual-fund/holding-history/6125/1048/"
"Aegis Logistics Ltd","Energy","2572539462","2450336000","1.88","6963160","1696026","32.2","/mutual-fund/holding-history/6125/35/"
"Minda Corp Ltd","Consumer Cyclical","2591322781.45","2448082000","1.88","6338077","681359","12.05","/mutual-fund/holding-history/6125/863/"
"The Shipping Corp of India Ltd","Industrials","3104599220.7","2439649000","1.88","14976359","3500000","30.5","/mutual-fund/holding-history/6125/1196/"
"HFCL Ltd","Technology","2615334624","2183337000","1.68","25945780","","","/mutual-fund/holding-history/6125/543/"
