"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Equitas Small Finance Bank Ltd Ordinary Shares","Financial Services","8464243.8","8401000","2.47","79626","6038","8.21","/mutual-fund/holding-history/1754074/325199/"
"CSB Bank Ltd Ordinary Shares","Financial Services","7279312.6","8144000","2.4","19453","3479","21.78","/mutual-fund/holding-history/1754074/174482/"
"TeamLease Services Ltd","Industrials","7451058.3","7861000","2.32","2458","220","9.83","/mutual-fund/holding-history/1754074/1955/"
"Karur Vysya Bank Ltd","Financial Services","8162621.25","7649000","2.25","45285","7849","20.97","/mutual-fund/holding-history/1754074/721/"
"Birlasoft Ltd","Technology","8252869.5","7273000","2.14","10086","","","/mutual-fund/holding-history/1754074/763/"
"Godrej Industries Ltd","Industrials","8239397.5","7255000","2.14","9745","9745","New","/mutual-fund/holding-history/1754074/477/"
"Nuvoco Vista Corp Ltd","Basic Materials","6462682.2","7116000","2.1","18603","3156","20.43","/mutual-fund/holding-history/1754074/622855/"
"Gujarat State Petronet Ltd","Utilities","8377957.7","7099000","2.09","23198","2181","10.38","/mutual-fund/holding-history/1754074/502/"
"Crompton Greaves Consumer Electricals Ltd","Consumer Cyclical","6725929.5","6854000","2.02","22045","","","/mutual-fund/holding-history/1754074/2020/"
"Cyient Ltd","Industrials","6024615.95","6840000","2.02","2983","1225","69.68","/mutual-fund/holding-history/1754074/301/"
"Genus Power Infrastructures Ltd","Industrials","7304029.05","6720000","1.98","28967","12599","76.97","/mutual-fund/holding-history/1754074/449/"
"PVR INOX Ltd","Communication Services","5878762.5","6686000","1.97","4030","1618","67.08","/mutual-fund/holding-history/1754074/1087/"
"Ujjivan Financial Services Limited","","6515413.2","6684000","1.97","11829","1579","15.4","/mutual-fund/holding-history/1754074/2014/"
"UTI Asset Management Co Ltd","Financial Services","6613618.8","6674000","1.97","7701","2765","56.02","/mutual-fund/holding-history/1754074/305194/"
"Eris Lifesciences Ltd Registered Shs","Healthcare","6483726","6634000","1.95","7290","7290","New","/mutual-fund/holding-history/1754074/54899/"
"IDFC Ltd","Financial Services","6073992","6632000","1.95","52362","7646","17.1","/mutual-fund/holding-history/1754074/590/"
"CMS Info Systems Ltd","Industrials","6727054.5","6608000","1.95","17271","4130","31.43","/mutual-fund/holding-history/1754074/755507/"
"Craftsman Automation Ltd","Consumer Cyclical","5770035","6569000","1.94","1215","1215","New","/mutual-fund/holding-history/1754074/445359/"
"Mastek Ltd","Technology","6327047","6486000","1.91","2302","231","11.15","/mutual-fund/holding-history/1754074/843/"
"Indian Renewable Energy Development Agency Ltd","Financial Services","10569540.6","6399000","1.89","62247","41699","202.93","/mutual-fund/holding-history/1754074/1791996/"
"Can Fin Homes Ltd","Financial Services","6333510","6392000","1.88","8220","1491","22.16","/mutual-fund/holding-history/1754074/234/"
"CCL Products (India) Ltd","Consumer Defensive","6371499.4","6390000","1.88","9926","4512","83.34","/mutual-fund/holding-history/1754074/243/"
"Computer Age Management Services Ltd Ordinary Shares","Technology","6574049.6","6345000","1.87","2393","2393","New","/mutual-fund/holding-history/1754074/297909/"
"EPL Ltd Ordinary Shares","Consumer Cyclical","6138254","6253000","1.84","30970","30970","New","/mutual-fund/holding-history/1754074/393/"
"TD Power Systems Ltd","Industrials","6396898","6129000","1.81","23570","23570","New","/mutual-fund/holding-history/1754074/1373/"
"Sansera Engineering Ltd","Industrials","6140601.6","6091000","1.79","5978","","","/mutual-fund/holding-history/1754074/658068/"
"Lumax Industries Ltd","Consumer Cyclical","6020268.75","6078000","1.79","2451","2451","New","/mutual-fund/holding-history/1754074/802/"
"MPS Ltd","Communication Services","5425507.2","6073000","1.79","3576","2313","183.14","/mutual-fund/holding-history/1754074/882/"
"Mayur Uniquoters Ltd","Consumer Cyclical","5140455.15","5301000","1.56","9407","9407","New","/mutual-fund/holding-history/1754074/847/"
"Kirloskar Pneumatic Co Ltd","Industrials","5531074","5287000","1.56","8776","8776","New","/mutual-fund/holding-history/1754074/2214/"
"HDFC Bank Ltd","Financial Services","4118163","4906000","1.45","2870","2870","New","/mutual-fund/holding-history/1754074/533/"
"Mahindra Logistics Ltd","Industrials","5369080.8","4807000","1.42","12394","12394","New","/mutual-fund/holding-history/1754074/65007/"
"Lemon Tree Hotels Ltd","Consumer Cyclical","5494156.5","4754000","1.4","39669","39669","New","/mutual-fund/holding-history/1754074/81513/"
"Exide Industries Ltd","Consumer Cyclical","4405507.2","4511000","1.33","14193","14193","New","/mutual-fund/holding-history/1754074/404/"
"Carysil Ltd","Consumer Cyclical","4552484.4","4321000","1.27","5256","","","/mutual-fund/holding-history/1754074/3001/"
"V-Guard Industries Ltd","Industrials","3857552.5","3844000","1.13","13150","13150","New","/mutual-fund/holding-history/1754074/1476/"
"Fusion Micro Finance Ltd","Financial Services","3862968.4","3552000","1.05","6163","6163","New","/mutual-fund/holding-history/1754074/755078/"
"Narayana Hrudayalaya Ltd","Healthcare","3546638.7","3379000","1","2811","2811","New","/mutual-fund/holding-history/1754074/1886/"
"Krishna Institute of Medical Sciences Ltd","Healthcare","3422512.5","3266000","0.96","1650","1650","New","/mutual-fund/holding-history/1754074/555690/"
"InterGlobe Aviation Ltd","Industrials","1614760.2","1673000","0.49","564","564","New","/mutual-fund/holding-history/1754074/1784/"
"Infosys Ltd","Technology","1807635.3","1671000","0.49","1083","1083","New","/mutual-fund/holding-history/1754074/630/"
