"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Blue Star Ltd","Industrials","9967760000","8901800000","3.75","9400000","","","/mutual-fund/holding-history/17803/209/"
"Finolex Industries Ltd","Industrials","7426627495","6962979000","2.94","32999900","9604331","41.05","/mutual-fund/holding-history/17803/417/"
"Chalet Hotels Ltd","Consumer Cyclical","7403375442.9","6767398000","2.85","9716991","","","/mutual-fund/holding-history/17803/127257/"
"Kalpataru Projects International Ltd","Industrials","6703200000","6382800000","2.69","9000000","","","/mutual-fund/holding-history/17803/712/"
"SBFC Finance Ltd","Financial Services","6250999910.7","6258000000","2.64","69999999","","","/mutual-fund/holding-history/17803/1578900/"
"Lemon Tree Hotels Ltd","Consumer Cyclical","6925000000","5992500000","2.53","50000000","","","/mutual-fund/holding-history/17803/81513/"
"City Union Bank Ltd","Financial Services","5506785880","5810985000","2.45","38999900","14999900","62.5","/mutual-fund/holding-history/17803/295/"
"CMS Info Systems Ltd","Industrials","5842500000","5739000000","2.42","15000000","","","/mutual-fund/holding-history/17803/755507/"
"SJVN Ltd","Utilities","7114313154.7","5556434000","2.34","61093286","-6286399","-9.33","/mutual-fund/holding-history/17803/1250/"
"Carborundum Universal Ltd","Industrials","5678348379","5500020000","2.32","4939842","","","/mutual-fund/holding-history/17803/238/"
"Chemplast Sanmar Ltd","Basic Materials","5201350000","5499450000","2.32","11000000","","","/mutual-fund/holding-history/17803/623875/"
"Elgi Equipments Ltd","Industrials","5805500000","5445500000","2.3","10000000","","","/mutual-fund/holding-history/17803/371/"
"Esab India Ltd","Industrials","4940640000","5293575000","2.23","900000","","","/mutual-fund/holding-history/17803/386/"
"V-Guard Industries Ltd","Industrials","4986950000","4969950000","2.1","17000000","","","/mutual-fund/holding-history/17803/1476/"
"Krishna Institute of Medical Sciences Ltd","Healthcare","5112607251.5","4878328000","2.06","2464798","","","/mutual-fund/holding-history/17803/555690/"
"Triveni Turbine Ltd","Industrials","4221434016.6","4641061000","1.96","10942027","","","/mutual-fund/holding-history/17803/1418/"
"CSB Bank Ltd Ordinary Shares","Financial Services","4116200000","4605150000","1.94","11000000","","","/mutual-fund/holding-history/17803/174482/"
"Vedant Fashions Ltd","Consumer Cyclical","3937675000","4437650000","1.87","3500000","","","/mutual-fund/holding-history/17803/816269/"
"TTK Prestige Ltd","Consumer Cyclical","4593445000","4373670000","1.84","5900000","","","/mutual-fund/holding-history/17803/1421/"
"Go Fashion (India) Ltd","Consumer Cyclical","3863424704.75","4333004000","1.83","3461695","","","/mutual-fund/holding-history/17803/728986/"
"GE T&D India Ltd","Industrials","5284077100","4238630000","1.79","8420840","","","/mutual-fund/holding-history/17803/67/"
"ZF Commercial Vehicle Control Systems India Ltd","Consumer Cyclical","4332563124.8","4148972000","1.75","259199","","","/mutual-fund/holding-history/17803/1508/"
"LIC Housing Finance Ltd","Financial Services","4459840000","4127970000","1.74","7700000","","","/mutual-fund/holding-history/17803/790/"
"DOMS Industries Ltd","Industrials","4785495000","4127640000","1.74","3300000","3300000","New","/mutual-fund/holding-history/17803/1819409/"
"Brigade Enterprises Ltd","Real Estate","4323818429.35","3977008000","1.68","4434913","999900","29.11","/mutual-fund/holding-history/17803/219/"
"PVR INOX Ltd","Communication Services","3457237500","3931949000","1.66","2370000","","","/mutual-fund/holding-history/17803/1087/"
