"Fund Name","Purchase Mode","isRecommended","Morningstar Rating","Checklist Score / 100","AUM","Interim Net Expense Ratio","Current Price Rs","Day change %","Week change %","Month Change %","Returns 3M","Returns 1Yr","Returns 3Yr","Returns 5Yr"
"Tata Small Cap Fund Dir Gr","direct","0","4","62","58190691219.51","0.32","35.48","0.60","0","1.81","14.06","39.34","37.94","28.63"
"Quant Small Cap Dir Gr","direct","0","4","54","130018329000.00","0.77","243.70","1.44","2.99","9.40","30.94","59.74","48.57","36.76"
"Axis Small Cap Fund Dir Gr","direct","0","4","53","186157165000.00","0.55","98.75","0.23","0.56","2.55","14.89","39.58","31.97","28.97"
"Nippon India Small Cap Dir Gr","direct","0","5","49","438156087294.79","0.67","155.26","0.26","0.52","2.68","18.22","54.93","41.76","30.96"
"HSBC Small Cap Fund Dir Gr","direct","0","4","48","132308234679.00","0.69","76.92","0.22","0.60","2.97","17.32","52.65","39.37","25.71"
"HDFC Small Cap Dir Gr","direct","0","3","46","268369945000.00","0.72","132.42","-0.02","0.12","3.53","16.48","51.62","37.10","24.61"
"Franklin India Smaller Comp Dir Gr","direct","0","3","42","113978332747.02","0.90","165.45","-0.08","-0.32","2.46","19.43","58.56","35.88","24.72"
"Mahindra Manulife Small Cap Dir Gr","direct","0","","41","30999980000.00","0.18","16.55","0.67","1.22","6.23","24.14","68.49","",""
"ITI Small Cap Dir Gr","direct","0","1","38","19860931000.00","0.19","24.15","0.04","-0.21","3.83","23.41","61.29","26.39",""
"Canara Robeco Small Cap Dir Gr","direct","0","4","38","91785422000.00","0.46","35.94","0.25","0.50","2.66","15.53","39.25","36.38",""
"Invesco India Smallcap Dir Gr","direct","0","3","36","34611305000.00","0.37","34.44","0","-0.09","2.50","20.25","49.80","34.61","28.19"
"Bank of India Small Cap Dir Gr","direct","0","5","34","8453908000.00","0.88","42.02","0.74","0.86","2.66","16.59","49.54","35.53","33.55"
"Edelweiss Small Cap Dir Gr","direct","0","4","34","30020423000.00","0.40","39.25","-0.05","-0.73","1.84","16.41","46.81","35.31",""
"Union Small Cap Dir Gr","direct","0","3","33","34611305000.00","0.84","45.25","0.42","-0.37","0.78","11.67","46.58","31.85","27.18"
"Bandhan Small Cap Dir Gr","direct","0","3","32","38802475000.00","0.30","36.59","0.58","1.11","6.00","25.76","67.04","33.16",""
"Kotak Small Cap Dir Gr","direct","0","4","31","140820129000.00","0.44","253.44","-0.32","-0.35","1.18","14.33","39.15","30.82","28.57"
"SBI Small Cap Fund Dir Gr","direct","0","4","30","237169499000.00","0.67","163.06","0.10","0.49","2.42","11.09","31.77","27.33","25.78"
"DSP Small Cap Dir Gr","direct","0","4","29","135140000000.00","0.78","174.16","-0.24","-0.75","1.61","15.03","45.70","32.11","26.56"
"ICICI Pru Smallcap Dir Gr","direct","0","3","26","70918089549.64","0.66","83.63","0.29","0.13","2.92","15.78","43.37","34.38","29.10"
"LIC MF Small Cap Fund Dir Gr","direct","0","2","25","1936128000.00","1.53","27.44","-0.11","0.40","3.90","17.74","42.47","33.09","23.74"
"UTI Small Cap Dir Gr","direct","0","2","24","36081893000.00","0.43","22.38","-0.04","-0.04","1.54","14.96","39.61","30.36",""
"Quantum Small Cap Dir Gr","direct","0","","21","339436000.00","0.60","10.65","0.38","0.66","1.62","","","",""
"Sundaram Small Cap Dir Gr","direct","0","2","21","30078621679.69","0.84","236.95","0.18","0.38","1.15","16.73","48.78","33.43","24.50"
"Baroda BNP Paribas Small Cap Dir Gr","direct","0","","16","12811340000.00","0.32","11.39","0.44","0.26","3.92","","","",""
"PGIM India Small Cap Dir Gr","direct","0","","16","14713886000.00","0.48","13.95","-0.36","-0.85","0.36","12.41","27.05","",""
"Aditya BSL Small Cap Dir Gr","direct","0","2","12","52511076000.00","0.74","82.21","0.27","-0.33","2.38","14.37","43.73","26.81","18.95"
"Motilal Oswal Small Cap Dir Gr","direct","0","","7","","0.66","10.09","0.20","-0.30","","","","",""
"Sundaram LT Mic capTax Ad Sr VI Dir Gr","direct","0","","-","416561132.78","1.19","24.02","0.21","-0.62","0.67","14.54","50.68","40.03","24.69"
