"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Multi Commodity Exchange of India Ltd","Financial Services","981108803.4","938423209","3.12","293271","-36982","-11.2","/mutual-fund/holding-history/7993/853/"
"Suven Pharmaceuticals Ltd","Healthcare","871249891.2","919193434","3.06","1271712","-129822","-9.26","/mutual-fund/holding-history/7993/191143/"
"KEI Industries Ltd","Industrials","849611514.3","901637889","3","277474","-29172","-9.51","/mutual-fund/holding-history/7993/729/"
"KSB Ltd","Industrials","890564167.5","861730048","2.86","248570","-9066","-3.52","/mutual-fund/holding-history/7993/768/"
"Can Fin Homes Ltd","Financial Services","842691288.9","857354459","2.85","1102494","","","/mutual-fund/holding-history/7993/234/"
"ICICI Bank Ltd","Financial Services","788249018.1","772513493","2.57","775149","","","/mutual-fund/holding-history/7993/584/"
"Cholamandalam Financial Holdings Ltd","Financial Services","813971704","728546705","2.42","700492","83834","13.59","/mutual-fund/holding-history/7993/1424/"
"Ujjivan Financial Services Limited","","705722517.5","688838329","2.29","1219075","106877","9.61","/mutual-fund/holding-history/7993/2014/"
"Radico Khaitan Ltd","Consumer Defensive","667787841","680844285","2.26","410580","-14420","-3.39","/mutual-fund/holding-history/7993/1090/"
"Power Finance Corp Ltd","Financial Services","780793271.4","671457644","2.23","1754986","","","/mutual-fund/holding-history/7993/1026/"
"Greenpanel Industries Ltd Ordinary Shares","Basic Materials","623903631.6","654311866","2.18","1528052","380188","33.12","/mutual-fund/holding-history/7993/170350/"
"Safari Industries (India) Ltd","Consumer Cyclical","650782655.6","653713958","2.17","335006","","","/mutual-fund/holding-history/7993/2912/"
"Cyient Ltd","Industrials","533757923.6","602415091","2","262702","-41106","-13.53","/mutual-fund/holding-history/7993/301/"
"Brigade Enterprises Ltd","Real Estate","652643843.2","592846806","1.97","661106","-37674","-5.39","/mutual-fund/holding-history/7993/219/"
"Westlife Foodworld Ltd","Consumer Cyclical","589230133","589880059","1.96","722140","","","/mutual-fund/holding-history/7993/2228/"
"Equitas Small Finance Bank Ltd Ordinary Shares","Financial Services","560897660.85","560631958","1.86","5314047","","","/mutual-fund/holding-history/7993/325199/"
"State Bank of India","Financial Services","528189175.25","541083143","1.8","842743","","","/mutual-fund/holding-history/7993/1193/"
"Rategain Travel Technologies Ltd","Technology","562003607.9","517787488","1.72","711442","","","/mutual-fund/holding-history/7993/747240/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","514700705.2","506455394","1.68","311732","","","/mutual-fund/holding-history/7993/665/"
"ICRA Ltd","Financial Services","470195994.4","491143493","1.63","85868","","","/mutual-fund/holding-history/7993/586/"
"HDFC Bank Ltd","Financial Services","383363437.6","453689646","1.51","265432","-33985","-11.35","/mutual-fund/holding-history/7993/533/"
"Coforge Ltd","Technology","442362897.6","444459673","1.48","70837","-11825","-14.31","/mutual-fund/holding-history/7993/942/"
"PVR INOX Ltd","Communication Services","381053854.45","432545857","1.44","260719","-1912","-0.73","/mutual-fund/holding-history/7993/1087/"
"Chalet Hotels Ltd","Consumer Cyclical","446399392.5","412464155","1.37","592238","","","/mutual-fund/holding-history/7993/127257/"
"RHI Magnesita India Ltd","Industrials","363030758.2","400069136","1.33","496826","","","/mutual-fund/holding-history/7993/989/"
"Birla Corp Ltd","Basic Materials","419840890.7","395896690","1.32","274747","","","/mutual-fund/holding-history/7993/198/"
"Neogen Chemicals Ltd","Basic Materials","374581760.3","392996196","1.31","265529","","","/mutual-fund/holding-history/7993/141845/"
"Firstsource Solutions Ltd","Technology","414802056.5","380526849","1.27","2058571","","","/mutual-fund/holding-history/7993/428/"
"K.P.R. Mill Ltd","Consumer Cyclical","338893565.2","373264890","1.24","452552","","","/mutual-fund/holding-history/7993/764/"
"Carborundum Universal Ltd","Industrials","370620696.65","371438034","1.23","333607","","","/mutual-fund/holding-history/7993/238/"
"Procter & Gamble Health Ltd","Healthcare","385869137.8","368874554","1.23","74554","","","/mutual-fund/holding-history/7993/858/"
"Bank of India","Financial Services","448813932.2","364489353","1.21","3237028","3237028","New","/mutual-fund/holding-history/7993/163/"
"Affle India Ltd","Communication Services","331508688.45","363347877","1.21","278193","-24982","-8.24","/mutual-fund/holding-history/7993/154217/"
"Birlasoft Ltd","Technology","421415447.25","359493177","1.2","498569","","","/mutual-fund/holding-history/7993/763/"
"Bajaj Finance Ltd","Financial Services","328943534.4","353578593","1.18","48252","","","/mutual-fund/holding-history/7993/150/"
"Sterling and Wilson Renewable Energy Ltd","Technology","475716275.5","352698160","1.17","815770","815770","New","/mutual-fund/holding-history/7993/155630/"
"Gujarat State Petronet Ltd","Utilities","402518310.9","345548052","1.15","1129242","","","/mutual-fund/holding-history/7993/502/"
"Tata Motors Ltd Class A","Consumer Cyclical","353217766.8","321011527","1.07","618162","","","/mutual-fund/holding-history/7993/1363/"
"Navin Fluorine International Ltd","Basic Materials","257091721.85","299459144","1","77717","","","/mutual-fund/holding-history/7993/914/"
"Sobha Ltd","Real Estate","424268178.5","297789827","0.99","302110","","","/mutual-fund/holding-history/7993/1261/"
"Gillette India Ltd","Consumer Defensive","305288242","295872710","0.98","45640","","","/mutual-fund/holding-history/7993/456/"
"Central Depository Services (India) Ltd","Financial Services","280851837.1","293622585","0.98","160942","","","/mutual-fund/holding-history/7993/53219/"
"Kovai Medical Center & Hospital Ltd","Healthcare","300985685","292886949","0.97","94501","","","/mutual-fund/holding-history/7993/762/"
"KPIT Technologies Ltd","Technology","281220105","292142773","0.97","192980","-114932","-37.33","/mutual-fund/holding-history/7993/141324/"
"Tube Investments of India Ltd Ordinary Shares","Industrials","324282956.8","292030292","0.97","82456","","","/mutual-fund/holding-history/7993/67548/"
"Balrampur Chini Mills Ltd","Consumer Defensive","279237287","291339462","0.97","709805","","","/mutual-fund/holding-history/7993/157/"
"Amrutanjan Health Care Ltd","Healthcare","279505745.3","290456304","0.97","484538","","","/mutual-fund/holding-history/7993/74/"
"TD Power Systems Ltd","Industrials","320835666.45","285877386","0.95","1099317","","","/mutual-fund/holding-history/7993/1373/"
"UTI Asset Management Co Ltd","Financial Services","279487851.2","270226678","0.9","311824","","","/mutual-fund/holding-history/7993/305194/"
"Angel One Ltd Ordinary Shares","Financial Services","229469625","258697102","0.86","74172","","","/mutual-fund/holding-history/7993/300864/"
"LTIMindtree Ltd","Technology","219256040.8","257847447","0.86","40961","-19551","-32.31","/mutual-fund/holding-history/7993/4596/"
"Aster DM Healthcare Ltd Ordinary Shares","Healthcare","262757857","249833341","0.83","609647","","","/mutual-fund/holding-history/7993/77534/"
"SJS Enterprises Ltd","Consumer Cyclical","230874804.9","248937671","0.83","402291","","","/mutual-fund/holding-history/7993/710818/"
"CSB Bank Ltd Ordinary Shares","Financial Services","222798667","248202932","0.83","592865","-269704","-31.27","/mutual-fund/holding-history/7993/174482/"
"PNC Infratech Ltd","Industrials","310547413.5","242807316","0.81","690873","","","/mutual-fund/holding-history/7993/1717/"
"Mold-tek Packaging Ltd","Consumer Cyclical","212776588.2","234161426","0.78","255189","","","/mutual-fund/holding-history/7993/1577/"
"Dixon Technologies (India) Ltd","Technology","196162581.1","219710322","0.73","33458","","","/mutual-fund/holding-history/7993/60393/"
"Computer Age Management Services Ltd Ordinary Shares","Technology","223551961.5","213864575","0.71","80661","","","/mutual-fund/holding-history/7993/297909/"
