"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Brigade Enterprises Ltd","Real Estate","919244113.6","835020000","2.31","931163","-161954","-14.82","/mutual-fund/holding-history/356902/219/"
"Karur Vysya Bank Ltd","Financial Services","929170164.4","817167000","2.26","4838168","","","/mutual-fund/holding-history/356902/721/"
"360 One Wam Ltd Ordinary Shares","Financial Services","674480885.4","761661000","2.11","1072989","","","/mutual-fund/holding-history/356902/166089/"
"Chalet Hotels Ltd","Consumer Cyclical","786698673.75","726894000","2.01","1043713","-150000","-12.57","/mutual-fund/holding-history/356902/127257/"
"Cera Sanitaryware Ltd","Industrials","710652288","678101000","1.88","86412","12500","16.91","/mutual-fund/holding-history/356902/254/"
"Techno Electric & Engineering Co Ltd","Industrials","673302000","671874000","1.86","840000","","","/mutual-fund/holding-history/356902/118204/"
"Cholamandalam Financial Holdings Ltd","Financial Services","744047192","665961000","1.85","640316","","","/mutual-fund/holding-history/356902/1424/"
"Carborundum Universal Ltd","Industrials","657951249.9","659402000","1.83","592242","","","/mutual-fund/holding-history/356902/238/"
"KPIT Technologies Ltd","Technology","633903750","658525000","1.83","435000","","","/mutual-fund/holding-history/356902/141324/"
"Suven Pharmaceuticals Ltd","Healthcare","570608143.3","602008000","1.67","832883","","","/mutual-fund/holding-history/356902/191143/"
"Timken India Ltd","Industrials","611429676.55","598564000","1.66","184063","","","/mutual-fund/holding-history/356902/1399/"
"Multi Commodity Exchange of India Ltd","Financial Services","616296278.8","589483000","1.63","184222","","","/mutual-fund/holding-history/356902/853/"
"Coforge Ltd","Technology","580766400","583519000","1.62","93000","","","/mutual-fund/holding-history/356902/942/"
"Krishna Institute of Medical Sciences Ltd","Healthcare","602349043.5","574124000","1.59","290079","","","/mutual-fund/holding-history/356902/555690/"
"Persistent Systems Ltd","Technology","648973375","572679000","1.59","77500","","","/mutual-fund/holding-history/356902/1023/"
"Firstsource Solutions Ltd","Technology","601188750.5","551512000","1.53","2983567","","","/mutual-fund/holding-history/356902/428/"
"Computer Age Management Services Ltd Ordinary Shares","Technology","564740240.5","540268000","1.5","203767","36000","21.46","/mutual-fund/holding-history/356902/297909/"
"IndiaMART InterMESH Ltd","Communication Services","494733330","538732000","1.49","197925","7500","3.94","/mutual-fund/holding-history/356902/149049/"
"Can Fin Homes Ltd","Financial Services","529391867.4","538604000","1.49","692604","-36210","-4.97","/mutual-fund/holding-history/356902/234/"
"City Union Bank Ltd","Financial Services","505535695.95","526563000","1.46","3533979","","","/mutual-fund/holding-history/356902/295/"
"CreditAccess Grameen Ltd Ordinary Shares","Financial Services","513840534","526031000","1.46","329480","-90667","-21.58","/mutual-fund/holding-history/356902/100478/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","525373415.6","516957000","1.43","318196","","","/mutual-fund/holding-history/356902/665/"
"Greenpanel Industries Ltd Ordinary Shares","Basic Materials","483577454.4","507146000","1.41","1184368","","","/mutual-fund/holding-history/356902/170350/"
"Ratnamani Metals & Tubes Ltd","Basic Materials","480431759.7","497832000","1.38","148021","","","/mutual-fund/holding-history/356902/1114/"
"Equitas Small Finance Bank Ltd Ordinary Shares","Financial Services","493929246.8","493695000","1.37","4679576","","","/mutual-fund/holding-history/356902/325199/"
"Affle India Ltd","Communication Services","448980353.8","492102000","1.36","376772","619","0.16","/mutual-fund/holding-history/356902/154217/"
"TeamLease Services Ltd","Industrials","418435865.25","479333000","1.33","149883","","","/mutual-fund/holding-history/356902/1955/"
"MTAR Technologies Ltd","Industrials","447028376.25","472411000","1.31","213925","-12000","-5.31","/mutual-fund/holding-history/356902/436155/"
"CIE Automotive India Ltd","Consumer Cyclical","472762767","465494000","1.29","988940","","","/mutual-fund/holding-history/356902/816/"
"Route Mobile Ltd Ordinary Shares","Communication Services","454088304.6","461816000","1.28","288897","","","/mutual-fund/holding-history/356902/290299/"
"Praj Industries Ltd","Industrials","419559608.5","460336000","1.28","827942","","","/mutual-fund/holding-history/356902/1061/"
"eClerx Services Ltd","Technology","471629755.65","458322000","1.27","176849","","","/mutual-fund/holding-history/356902/356/"
"Subros Ltd","Consumer Cyclical","575875987.5","437949000","1.21","808247","","","/mutual-fund/holding-history/356902/1302/"
"Metro Brands Ltd","Consumer Cyclical","396306735.75","436615000","1.21","343197","-30271","-8.11","/mutual-fund/holding-history/356902/750564/"
"Eris Lifesciences Ltd Registered Shs","Healthcare","435162533.5","431699000","1.2","474395","","","/mutual-fund/holding-history/356902/54899/"
"TD Power Systems Ltd","Industrials","468163297.55","417152000","1.16","1604123","50000","3.22","/mutual-fund/holding-history/356902/1373/"
"Sheela Foam Ltd","Consumer Cyclical","374574362.5","414139000","1.15","333875","","","/mutual-fund/holding-history/356902/4957/"
"Avanti Feeds Ltd","Consumer Defensive","481583774.9","403489000","1.12","960574","86625","9.91","/mutual-fund/holding-history/356902/138/"
"Vardhman Textiles Ltd","Consumer Cyclical","411326342.8","402416000","1.12","1042124","","","/mutual-fund/holding-history/356902/1504/"
"JK Cement Ltd","Basic Materials","444585010.35","388875000","1.08","102653","","","/mutual-fund/holding-history/356902/683/"
"RHI Magnesita India Ltd","Industrials","347630525","383098000","1.06","475750","","","/mutual-fund/holding-history/356902/989/"
"Prince Pipes And Fittings Ltd Ordinary Shares","Industrials","359405276.85","381982000","1.06","514281","","","/mutual-fund/holding-history/356902/177142/"
"Tube Investments of India Ltd Ordinary Shares","Industrials","423165347.2","381078000","1.06","107599","","","/mutual-fund/holding-history/356902/67548/"
"Dr. Lal PathLabs Ltd","Healthcare","362683956.25","377543000","1.05","146465","","","/mutual-fund/holding-history/356902/1877/"
"APL Apollo Tubes Ltd","Basic Materials","366569392","375763000","1.04","244510","-55000","-18.36","/mutual-fund/holding-history/356902/91/"
"Titagarh Rail Systems Ltd","Industrials","384738199.6","368426000","1.02","353068","353068","New","/mutual-fund/holding-history/356902/1434/"
"Metropolis Healthcare Ltd","Healthcare","347274022.2","367243000","1.02","218838","","","/mutual-fund/holding-history/356902/139598/"
"Ami Organics Ltd","Basic Materials","372308715.8","363782000","1.01","324226","70000","27.53","/mutual-fund/holding-history/356902/644637/"
"ISGEC Heavy Engineering Ltd","Industrials","383434515.6","363297000","1.01","370182","","","/mutual-fund/holding-history/356902/3892/"
"Navin Fluorine International Ltd","Basic Materials","307638725.85","358336000","0.99","92997","","","/mutual-fund/holding-history/356902/914/"
"Raymond Ltd","Consumer Cyclical","345380542","348138000","0.96","202036","202036","New","/mutual-fund/holding-history/356902/1115/"
"Narayana Hrudayalaya Ltd","Healthcare","362146050.5","348086000","0.96","289601","","","/mutual-fund/holding-history/356902/1886/"
"Asahi India Glass Ltd","Consumer Cyclical","315043545.75","347231000","0.96","602205","","","/mutual-fund/holding-history/356902/107/"
"La Opala RG Ltd","Consumer Cyclical","336124274.25","345181000","0.96","928905","","","/mutual-fund/holding-history/356902/784/"
"Ashoka Buildcon Ltd","Industrials","439373292.75","344207000","0.95","2471861","","","/mutual-fund/holding-history/356902/113/"
"Rossari Biotech Ltd Ordinary Shares","Basic Materials","318136718.75","325426000","0.9","407215","","","/mutual-fund/holding-history/356902/243466/"
"V-Mart Retail Ltd","Consumer Cyclical","341128641","324258000","0.9","161749","","","/mutual-fund/holding-history/356902/1498/"
"Birlasoft Ltd","Technology","378765822.75","323110000","0.9","448111","","","/mutual-fund/holding-history/356902/763/"
"VIP Industries Ltd","Consumer Cyclical","293601262.2","322735000","0.89","540006","","","/mutual-fund/holding-history/356902/1488/"
"Nesco Ltd","Industrials","306309042.25","321554000","0.89","364285","","","/mutual-fund/holding-history/356902/929/"
"Indoco Remedies Ltd","Healthcare","297687933.75","320082000","0.89","809925","","","/mutual-fund/holding-history/356902/614/"
"Orchid Pharma Ltd","Healthcare","384413250","317063000","0.88","445000","","","/mutual-fund/holding-history/356902/980/"
"Grindwell Norton Ltd","Industrials","307744172","305892000","0.85","131335","","","/mutual-fund/holding-history/356902/496/"
"Mahindra Logistics Ltd","Industrials","305086005","283929000","0.79","732060","200000","37.59","/mutual-fund/holding-history/356902/65007/"
"DCB Bank Ltd","Financial Services","286219208","279590000","0.77","2104553","","","/mutual-fund/holding-history/356902/311/"
"Arman Financial Services Ltd","Financial Services","254747452.5","270853000","0.75","111110","111110","New","/mutual-fund/holding-history/356902/3489/"
"Jamna Auto Industries Ltd","Consumer Cyclical","277621051.05","266068000","0.74","2381991","","","/mutual-fund/holding-history/356902/660/"
"Hawkins Cookers Ltd","Consumer Cyclical","249520100","262181000","0.73","34550","","","/mutual-fund/holding-history/356902/2364/"
"Coromandel International Ltd","Basic Materials","218977125","260969000","0.72","208500","","","/mutual-fund/holding-history/356902/284/"
"Dixon Technologies (India) Ltd","Technology","227992536.65","255361000","0.71","38887","","","/mutual-fund/holding-history/356902/60393/"
"KFin Technologies Ltd","Technology","311719657.4","250925000","0.7","519836","","","/mutual-fund/holding-history/356902/1253626/"
"Kewal Kiran Clothing Ltd","Consumer Cyclical","245260178.45","247408000","0.69","322987","82598","34.36","/mutual-fund/holding-history/356902/749/"
