"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Electronics Mart India Ltd","Consumer Cyclical","411579371","389927000","3.03","1907668","-3658","-0.19","/mutual-fund/holding-history/20920/1063762/"
"Nippon Life India Asset Management Ltd Ordinary Shares","Financial Services","448071384","385531000","3","860848","110000","14.65","/mutual-fund/holding-history/20920/64356/"
"Syrma SGS Technology Ltd","Technology","281203564","315954000","2.46","470870","","","/mutual-fund/holding-history/20920/995074/"
"Sonata Software Ltd","Technology","298395989.2","301707000","2.35","406202","","","/mutual-fund/holding-history/20920/1267/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","286317251","281731000","2.19","173410","","","/mutual-fund/holding-history/20920/665/"
"Brigade Enterprises Ltd","Real Estate","309523726.4","281164000","2.19","313537","271763","650.56","/mutual-fund/holding-history/20920/219/"
"Spandana Sphoorty Financial Ltd","Financial Services","257735040.55","276250000","2.15","244751","","","/mutual-fund/holding-history/20920/155461/"
"Gabriel India Ltd","Consumer Cyclical","256310840","272313000","2.12","692732","5125","0.75","/mutual-fund/holding-history/20920/429/"
"KEC International Ltd","Industrials","289531830","271320000","2.11","460488","150000","48.31","/mutual-fund/holding-history/20920/727/"
"R R Kabel Ltd","Industrials","245297651.45","268642000","2.09","170957","57700","50.95","/mutual-fund/holding-history/20920/1681351/"
"KFin Technologies Ltd","Technology","332230086","267435000","2.08","554040","79476","16.75","/mutual-fund/holding-history/20920/1253626/"
"PNC Infratech Ltd","Industrials","330738504","258594000","2.01","735792","334600","83.4","/mutual-fund/holding-history/20920/1717/"
"SJS Enterprises Ltd","Consumer Cyclical","228587813.4","246472000","1.92","398306","","","/mutual-fund/holding-history/20920/710818/"
"Ethos Ltd","Consumer Cyclical","290413477.6","243928000","1.9","116782","-21305","-15.43","/mutual-fund/holding-history/20920/877860/"
"Kaynes Technology India Ltd","Industrials","261936040.8","241800000","1.88","92624","19855","27.28","/mutual-fund/holding-history/20920/1124672/"
"Concord Biotech Ltd","Healthcare","233701492.2","240348000","1.87","163302","","","/mutual-fund/holding-history/20920/1587026/"
"Neogen Chemicals Ltd","Basic Materials","223302524.4","234280000","1.82","158292","","","/mutual-fund/holding-history/20920/141845/"
"K.P.R. Mill Ltd","Consumer Cyclical","211970229.85","233469000","1.82","283061","","","/mutual-fund/holding-history/20920/764/"
